RunID,ExperimentID,FamilyID,PairID,Variant,FactorName,FactorValue,Seed,TrialIndex,PayloadID,ChannelRealizationID,NoiseRealizationID,Profile,Channel,SNRDB,BlockError,BitErrors,RI,PMI,MeasuredSINRDB,EVMPercent,GoodputMbps,RuntimeMs,MemoryMB,Status,TrialsRepresented,ExecutedChannel,ExecutionBackend,ApproximationMode,TruthQualified,AppliedFactorValue,ExpectedTypedError,ObservedTypedError
mimo_impact_20260726T182409Z,F01_P01_B,F01,F01_P01,baseline,codebook_engine,compact_dft,11,0,PAY_11,CH_11,NOISE_11,selected_by_family,CDL-C,-5,1,14,1,0,-7.7387889026605139,338.43183329723587,0,54.015000000000001,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,compact_dft,,
mimo_impact_20260726T182409Z,F01_P01_T,F01,F01_P01,treatment,codebook_engine,exact_typeI,11,0,PAY_11,CH_11,NOISE_11,selected_by_family,CDL-C,-5,1,13,1,3,-6.2079587888013208,283.74596922808132,7.2000000000000002e-05,11.6861,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,exact_typeI,,
mimo_impact_20260726T182409Z,F01_P02_B,F01,F01_P02,baseline,codebook_engine,compact_dft,23,0,PAY_23,CH_23,NOISE_23,selected_by_family,CDL-C,0,1,11,1,1,-1.9337995352913744,164.38031896705061,0.0011760000000000002,8.1852,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,compact_dft,,
mimo_impact_20260726T182409Z,F01_P02_T,F01,F01_P02,treatment,codebook_engine,exact_typeI,23,0,PAY_23,CH_23,NOISE_23,selected_by_family,CDL-C,0,1,10,1,2,-0.77559371821284961,143.85982510274209,0.0024240000000000008,9.2171000000000003,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,exact_typeI,,
mimo_impact_20260726T182409Z,F01_P03_B,F01,F01_P03,baseline,codebook_engine,compact_dft,47,0,PAY_47,CH_47,NOISE_47,selected_by_family,CDL-C,5,0,0,1,0,2.9512370969586108,96.243481735287205,0.01296000000000001,30.1401,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,compact_dft,,
mimo_impact_20260726T182409Z,F01_P03_T,F01,F01_P03,treatment,codebook_engine,exact_typeI,47,0,PAY_47,CH_47,NOISE_47,selected_by_family,CDL-C,5,0,0,1,0,2.9512370969586108,96.243481735287205,0.01296000000000001,6.1821999999999999,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,exact_typeI,,
mimo_impact_20260726T182409Z,F01_P04_B,F01,F01_P04,baseline,codebook_engine,compact_dft,89,0,PAY_89,CH_89,NOISE_89,selected_by_family,CDL-C,10,1,19,1,0,5.9906386486382583,66.158425794315349,0.023472000000000017,5.2260999999999997,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,compact_dft,,
mimo_impact_20260726T182409Z,F01_P04_T,F01,F01_P04,treatment,codebook_engine,exact_typeI,89,0,PAY_89,CH_89,NOISE_89,selected_by_family,CDL-C,10,1,19,1,0,5.9906386486382583,66.158425794315349,0.023472000000000017,5.8826000000000001,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,exact_typeI,,
mimo_impact_20260726T182409Z,F01_P05_B,F01,F01_P05,baseline,codebook_engine,compact_dft,131,0,PAY_131,CH_131,NOISE_131,selected_by_family,CDL-C,15,0,0,1,1,7.5729368654085381,54.622890042742355,0.029208000000000019,8.3280999999999992,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,compact_dft,,
mimo_impact_20260726T182409Z,F01_P05_T,F01,F01_P05,treatment,codebook_engine,exact_typeI,131,0,PAY_131,CH_131,NOISE_131,selected_by_family,CDL-C,15,0,0,1,1,7.5729368654085381,54.622890042742355,0.029208000000000019,5.7457000000000003,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,exact_typeI,,
mimo_impact_20260726T182409Z,F01_P06_B,F01,F01_P06,baseline,codebook_engine,compact_dft,197,0,PAY_197,CH_197,NOISE_197,selected_by_family,CDL-C,20,1,1,1,1,5.554832043476849,70.594490946838576,0.021648000000000018,4.5021000000000004,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,compact_dft,,
mimo_impact_20260726T182409Z,F01_P06_T,F01,F01_P06,treatment,codebook_engine,exact_typeI,197,0,PAY_197,CH_197,NOISE_197,selected_by_family,CDL-C,20,0,0,1,2,9.2313819552201064,46.232067475799973,0.034199999999999946,5.4936999999999996,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,exact_typeI,,
mimo_impact_20260726T182409Z,F02_P01_B,F02,F02_P01,baseline,rank,1,11,0,PAY_11,CH_11,NOISE_11,selected_by_family,CDL-C,-5,1,23,1,0,-30.989030868143708,4884.1430651147439,0,7.2360000000000007,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,1,,
mimo_impact_20260726T182409Z,F02_P01_T,F02,F02_P01,treatment,rank,8,11,0,PAY_11,CH_11,NOISE_11,selected_by_family,CDL-C,-5,1,21,8,0,-17.94025521503406,1087.3005157888349,0,7.2300000000000004,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,8,,
mimo_impact_20260726T182409Z,F02_P02_B,F02,F02_P02,baseline,rank,1,23,0,PAY_23,CH_23,NOISE_23,selected_by_family,CDL-C,0,1,27,1,0,-13.44060650074131,641.52492733024667,0,4.4401999999999999,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,1,,
mimo_impact_20260726T182409Z,F02_P02_T,F02,F02_P02,treatment,rank,8,23,0,PAY_23,CH_23,NOISE_23,selected_by_family,CDL-C,0,1,26,8,0,-11.884566620283406,536.30462482974497,0,4.9725000000000001,3.7841796875,PASS,2000,correlated_complex_gaussian_component,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false,8,,
