RunID,ExperimentID,Mode,TimingMismatchFractionCP,PhaseMismatchDeg,PowerDeltaDB,CombinedSINRDB,BLER,CoherentGainDB,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T123109Z,F38_P06_T,CJT,0,0,0,7.1279218294752571,0.42699999999999999,3.0102999566398121,PASS,F38,treatment,trp_mode,CJT,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P01_B,CJT,0,0,0,-7.7316832080310869,0.99950000000000006,3.0102999566398121,PASS,F39,baseline,phase_error_deg,0,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P01_T,CJT,0,45,0,-8.4193762896121758,0.99950000000000006,2.3226068750587223,PASS,F39,treatment,phase_error_deg,45,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P02_B,CJT,0,0,0,-2.9105826481465407,0.98699999999999999,3.0102999566398121,PASS,F39,baseline,phase_error_deg,0,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P02_T,CJT,0,45,0,-3.59827572972763,0.995,2.3226068750587223,PASS,F39,treatment,phase_error_deg,45,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P03_B,CJT,0,0,0,1.1948111561773587,0.84499999999999997,3.0102999566398121,PASS,F39,baseline,phase_error_deg,0,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P03_T,CJT,0,45,0,0.5071180745962699,0.878,2.3226068750587223,PASS,F39,treatment,phase_error_deg,45,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P04_B,CJT,0,0,0,4.5408198648438809,0.61850000000000005,3.0102999566398121,PASS,F39,baseline,phase_error_deg,0,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P04_T,CJT,0,45,0,3.8531267832627929,0.67449999999999999,2.3226068750587223,PASS,F39,treatment,phase_error_deg,45,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P05_B,CJT,0,0,0,6.3911910729976631,0.47749999999999998,3.0102999566398121,PASS,F39,baseline,phase_error_deg,0,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P05_T,CJT,0,45,0,5.7034979914165724,0.53400000000000003,2.3226068750587223,PASS,F39,treatment,phase_error_deg,45,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P06_B,CJT,0,0,0,7.034581182245633,0.433,3.0102999566398121,PASS,F39,baseline,phase_error_deg,0,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F39_P06_T,CJT,0,45,0,6.3468881006645441,0.47249999999999998,2.3226068750587223,PASS,F39,treatment,phase_error_deg,45,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P01_B,CJT,0,0,0,-7.7704973070723478,1,3.0102999566398121,PASS,F40,baseline,timing_fraction_cp,0,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P01_T,CJT,0.25,0,0,-8.6825948910355848,1,3.0102999566398121,PASS,F40,treatment,timing_fraction_cp,0.25,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P02_B,CJT,0,0,0,-2.865269362011424,0.98499999999999999,3.0102999566398121,PASS,F40,baseline,timing_fraction_cp,0,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P02_T,CJT,0.25,0,0,-3.7773669459746637,0.99250000000000005,3.0102999566398121,PASS,F40,treatment,timing_fraction_cp,0.25,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P03_B,CJT,0,0,0,1.5979926828403916,0.84099999999999997,3.0102999566398121,PASS,F40,baseline,timing_fraction_cp,0,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P03_T,CJT,0.25,0,0,0.68589509887715172,0.88800000000000001,3.0102999566398121,PASS,F40,treatment,timing_fraction_cp,0.25,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F40_P04_B,CJT,0,0,0,4.5976850858171465,0.61599999999999999,3.0102999566398121,PASS,F40,baseline,timing_fraction_cp,0,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
