RunID,ExperimentID,CodebookType,Rank,SelectedRI,ExpectedRI,SelectedPMI,ExpectedPMI,PMIAccuracy,FeedbackBits,Objective,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,CandidateCount,ArrayGainDB,RIAccuracy,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F01_P01_B,executed_typeI_2port_or_component_objective,1,1,1,0,0,1,8,measured_posteq_component_metric,PASS,F01,baseline,codebook_engine,compact_dft,-5,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P01_T,executed_typeI_2port_or_component_objective,1,1,1,3,3,1,8,measured_posteq_component_metric,PASS,F01,treatment,codebook_engine,exact_typeI,-5,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P02_B,executed_typeI_2port_or_component_objective,1,1,1,1,1,1,8,measured_posteq_component_metric,PASS,F01,baseline,codebook_engine,compact_dft,0,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P02_T,executed_typeI_2port_or_component_objective,1,1,1,2,2,1,8,measured_posteq_component_metric,PASS,F01,treatment,codebook_engine,exact_typeI,0,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P03_B,executed_typeI_2port_or_component_objective,1,1,1,0,0,1,8,measured_posteq_component_metric,PASS,F01,baseline,codebook_engine,compact_dft,5,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P03_T,executed_typeI_2port_or_component_objective,1,1,1,0,0,1,8,measured_posteq_component_metric,PASS,F01,treatment,codebook_engine,exact_typeI,5,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P04_B,executed_typeI_2port_or_component_objective,1,1,1,0,0,1,8,measured_posteq_component_metric,PASS,F01,baseline,codebook_engine,compact_dft,10,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P04_T,executed_typeI_2port_or_component_objective,1,1,1,0,0,1,8,measured_posteq_component_metric,PASS,F01,treatment,codebook_engine,exact_typeI,10,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P05_B,executed_typeI_2port_or_component_objective,1,1,1,1,1,1,8,measured_posteq_component_metric,PASS,F01,baseline,codebook_engine,compact_dft,15,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F01_P05_T,executed_typeI_2port_or_component_objective,1,1,1,1,1,1,8,measured_posteq_component_metric,PASS,F01,treatment,codebook_engine,exact_typeI,15,256,0,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
