RunID,ExperimentID,Rank,Layer,MeasuredSINRDB,EVMPercent,BLER,GoodputMbps,RankCollapsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,XPRDB,CodewordCount,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F02_P04_T,8,1,-4.4029519732263509,216.2331729792333,0.996,0.001536,false,PASS,F02,treatment,rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P04_T,8,2,-4.5529519732263513,216.3331729792333,0.996,0.001536,false,PASS,F02,treatment,rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P04_T,8,3,-4.7029519732263507,216.43317297923329,0.996,0.001536,false,PASS,F02,treatment,rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P04_T,8,4,-4.8529519732263511,216.53317297923331,0.996,0.001536,false,PASS,F02,treatment,rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P04_T,8,5,-5.0029519732263505,216.63317297923331,0.996,0.001536,false,PASS,F02,treatment,rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P04_T,8,6,-5.1529519732263509,216.7331729792333,0.996,0.001536,false,PASS,F02,treatment,rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P04_T,8,7,-5.3029519732263513,216.8331729792333,0.996,0.001536,false,PASS,F02,treatment,rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P04_T,8,8,-5.4529519732263507,216.93317297923329,0.996,0.001536,false,PASS,F02,treatment,rank,8,10,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P05_B,1,1,-5.4136128790382765,250.64333143800889,0.99950000000000006,2.4000000000000001e-05,false,PASS,F02,baseline,rank,1,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P05_T,8,1,-2.5140949250782434,179.506532028648,0.97650000000000003,0.0090240000000000008,false,PASS,F02,treatment,rank,8,15,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
