RunID,ExperimentID,Part1Bits,Part2Bits,OmittedPart2Bits,ReportAgeSlots,CQIError,PMIError,GoodputMbps,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,BLER,TotalBits,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F09_P01_B,6,2,0,0,0,0,0,PASS,F09,baseline,csi_granularity,wideband,-5,1,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P01_T,6,2,0,0,0,0,0,PASS,F09,treatment,csi_granularity,subband,-5,1,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P02_B,6,2,0,0,0,0,0.000144,PASS,F09,baseline,csi_granularity,wideband,0,0.99850000000000005,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P02_T,6,2,0,0,0,0,0.00038400000000000001,PASS,F09,treatment,csi_granularity,subband,0,0.996,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P03_B,6,2,0,0,0,0,0.00264,PASS,F09,baseline,csi_granularity,wideband,5,0.97250000000000003,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P03_T,6,2,0,0,0,0,0.0050400000000000019,PASS,F09,treatment,csi_granularity,subband,5,0.94750000000000001,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P04_B,6,2,0,0,0,0,0.014016000000000009,PASS,F09,baseline,csi_granularity,wideband,10,0.85399999999999998,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P04_T,6,2,0,0,0,0,0.019968000000000014,PASS,F09,treatment,csi_granularity,subband,10,0.79200000000000004,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P05_B,6,2,0,0,0,0,0.023520000000000017,PASS,F09,baseline,csi_granularity,wideband,15,0.755,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F09_P05_T,6,2,0,0,0,0,0.030528000000000024,PASS,F09,treatment,csi_granularity,subband,15,0.68200000000000005,8,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
