RunID,ExperimentID,Receiver,Samples,AgeSlots,ConditionNumber,MinEigenvalue,ShrinkageFactor,MeasuredSINRDB,BLER,FallbackUsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,InterferenceLevelDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F25_P06_B,MMSE,32,0,3.3860159669566068,0.036879734577659445,0,4.3399922362410654,0.629,false,PASS,F25,baseline,cov_age,0,20,15.660007763758934,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F25_P06_T,MMSE,32,16,3.3860159669566068,0.036879734577659445,0,4.3399922362410654,0.629,false,PASS,F25,treatment,cov_age,16,20,15.660007763758934,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P01_B,MMSE,32,0,2.4969456538157977,0.070354657543828081,0,-10.528695844502689,1,false,PASS,F26,baseline,cov_granularity,wideband,-5,5.528695844502689,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P01_T,MMSE,32,0,2.4969456538157977,0.070354657543828081,0,-10.03651561780088,1,false,PASS,F26,treatment,cov_granularity,per_PRB,-5,5.0365156178008803,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P02_B,MMSE,32,0,2.8505926983620653,0.047189018115569276,0,-5.8601949667355857,1,false,PASS,F26,baseline,cov_granularity,wideband,0,5.8601949667355857,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P02_T,MMSE,32,0,2.8505926983620653,0.047189018115569276,0,-5.3680147400337699,0.99850000000000005,false,PASS,F26,treatment,cov_granularity,per_PRB,0,5.3680147400337699,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P03_B,MMSE,32,0,2.3222905787289467,0.085727366389691528,0,-1.7684168024341007,0.95999999999999996,false,PASS,F26,baseline,cov_granularity,wideband,5,6.7684168024341007,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P03_T,MMSE,32,0,2.3222905787289467,0.085727366389691528,0,-1.2762365757322838,0.94799999999999995,false,PASS,F26,treatment,cov_granularity,per_PRB,5,6.276236575732284,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P04_B,MMSE,32,0,2.1453831992963046,0.055221436583884571,0,1.40033942234095,0.84299999999999997,false,PASS,F26,baseline,cov_granularity,wideband,10,8.5996605776590496,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P04_T,MMSE,32,0,2.1453831992963046,0.055221436583884571,0,1.8925196490427649,0.8165,false,PASS,F26,treatment,cov_granularity,per_PRB,10,8.1074803509572355,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P05_B,MMSE,32,0,3.8002575024463581,0.057964674186675287,0,3.2933115362053393,0.71099999999999997,false,PASS,F26,baseline,cov_granularity,wideband,15,11.706688463794661,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P05_T,MMSE,32,0,3.8002575024463581,0.057964674186675287,0,3.7854917629071561,0.67400000000000004,false,PASS,F26,treatment,cov_granularity,per_PRB,15,11.214508237092844,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P06_B,MMSE,32,0,5.4101015087879887,0.038872162964866015,0,4.0337615366702542,0.65149999999999997,false,PASS,F26,baseline,cov_granularity,wideband,20,15.966238463329745,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F26_P06_T,MMSE,32,0,5.4101015087879887,0.038872162964866015,0,4.5259417633720709,0.60899999999999999,false,PASS,F26,treatment,cov_granularity,per_PRB,20,15.474058236627929,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P01_B,MMSE,32,0,4.3771885760019416,0.03995772291027111,0,-10.543751801797189,1,false,PASS,F27,baseline,shrinkage,none,-5,5.543751801797189,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P01_T,MMSE,32,0,3.4711862321402651,0.048054408830408214,0.12,-10.543751801797189,1,false,PASS,F27,treatment,shrinkage,LedoitWolf,-5,5.543751801797189,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P02_B,MMSE,32,0,2.969366404052852,0.060416019653759895,0,-6.0057513321452101,0.99950000000000006,false,PASS,F27,baseline,shrinkage,none,0,6.0057513321452101,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F27_P02_T,MMSE,32,0,2.5499028405437336,0.067554896416122584,0.12,-6.0057513321452101,0.99950000000000006,false,PASS,F27,treatment,shrinkage,LedoitWolf,0,6.0057513321452101,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
