RunID,ExperimentID,SRSAgeSlots,SoundedBandwidthRB,SelectedRI,SelectedTPMI,AppliedTPMI,TPMIAccuracy,MeasuredSINRDB,BLER,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F20_P03_B,0,100,1,0,0,1,0.39098998615232444,0.89949999999999997,PASS,F20,baseline,ul_precoder_source,configured,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F20_P03_T,0,100,2,6,6,1,-1.0480757706904742,0.95250000000000001,PASS,F20,treatment,ul_precoder_source,measured_srs,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F20_P04_B,0,100,1,0,0,1,3.4350808022989896,0.6885,PASS,F20,baseline,ul_precoder_source,configured,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F20_P04_T,0,100,2,10,10,1,1.99601504545619,0.79149999999999998,PASS,F20,treatment,ul_precoder_source,measured_srs,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F20_P05_B,0,100,1,0,0,1,5.268106834519938,0.55900000000000005,PASS,F20,baseline,ul_precoder_source,configured,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F20_P05_T,0,100,3,5,5,1,2.0681284871203207,0.79100000000000004,PASS,F20,treatment,ul_precoder_source,measured_srs,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F20_P06_B,0,100,1,0,0,1,6.0816969706768642,0.501,PASS,F20,baseline,ul_precoder_source,configured,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F20_P06_T,0,100,3,2,2,1,2.8817186232772491,0.745,PASS,F20,treatment,ul_precoder_source,measured_srs,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P01_B,0,24,1,0,0,1,-8.6222568148306653,1,PASS,F21,baseline,srs_bandwidth,narrow,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P01_T,0,100,2,11,11,1,-10.061322571673456,1,PASS,F21,treatment,srs_bandwidth,full,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P02_B,0,24,1,0,0,1,-3.8929944483585048,0.99150000000000005,PASS,F21,baseline,srs_bandwidth,narrow,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P02_T,0,100,2,13,13,1,-5.3320602052013006,0.99750000000000005,PASS,F21,treatment,srs_bandwidth,full,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P03_B,0,24,1,0,0,1,0.12671367436654515,0.91249999999999998,PASS,F21,baseline,srs_bandwidth,narrow,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P03_T,0,100,3,2,2,1,-3.0732646730330684,0.98799999999999999,PASS,F21,treatment,srs_bandwidth,full,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P04_B,0,24,1,0,0,1,3.449362394843642,0.70450000000000002,PASS,F21,baseline,srs_bandwidth,narrow,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P04_T,0,100,2,13,13,1,2.0102966380008414,0.80500000000000005,PASS,F21,treatment,srs_bandwidth,full,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P05_B,0,24,1,0,0,1,5.1483733011384487,0.56799999999999995,PASS,F21,baseline,srs_bandwidth,narrow,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P05_T,0,100,2,10,10,1,3.7093075442956476,0.68700000000000006,PASS,F21,treatment,srs_bandwidth,full,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P06_B,0,24,1,0,0,1,6.2060880081769811,0.48049999999999998,PASS,F21,baseline,srs_bandwidth,narrow,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F21_P06_T,0,100,3,2,2,1,3.0061096607773679,0.74150000000000005,PASS,F21,treatment,srs_bandwidth,full,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P01_B,0,100,2,0,0,1,-10.655234942781142,1,PASS,F22,baseline,srs_age,0,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P01_T,16,100,2,0,0,1,-16.445828034824494,1,PASS,F22,treatment,srs_age,16,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P02_B,0,100,2,0,0,1,-6.1351232688695152,0.99850000000000005,PASS,F22,baseline,srs_age,0,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P02_T,16,100,2,0,0,1,-11.925716360912872,1,PASS,F22,treatment,srs_age,16,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P03_B,0,100,2,0,0,1,-1.5942690283668135,0.96599999999999997,PASS,F22,baseline,srs_age,0,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P03_T,16,100,2,0,0,1,-7.384862120410169,0.99950000000000006,PASS,F22,treatment,srs_age,16,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P04_B,0,100,2,0,0,1,1.5867673979026267,0.83550000000000002,PASS,F22,baseline,srs_age,0,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P04_T,16,100,2,0,0,1,-4.203825694140729,0.99650000000000005,PASS,F22,treatment,srs_age,16,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P05_B,0,100,2,0,0,1,3.3078624292956098,0.70799999999999996,PASS,F22,baseline,srs_age,0,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P05_T,16,100,2,0,0,1,-2.4827306627477488,0.97850000000000004,PASS,F22,treatment,srs_age,16,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P06_B,0,100,2,0,0,1,4.1748127889665891,0.64749999999999996,PASS,F22,baseline,srs_age,0,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F22_P06_T,16,100,2,0,0,1,-1.6157803030767672,0.96199999999999997,PASS,F22,treatment,srs_age,16,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P01_B,0,100,2,0,0,1,-10.922668007080224,1,PASS,F23,baseline,reciprocity,uncalibrated,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P01_T,0,100,2,0,0,1,-10.382384335938955,1,PASS,F23,treatment,reciprocity,calibrated,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P02_B,0,100,2,0,0,1,-6.3283496378922974,1,PASS,F23,baseline,reciprocity,uncalibrated,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P02_T,0,100,2,0,0,1,-5.7880659667510237,0.998,PASS,F23,treatment,reciprocity,calibrated,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P03_B,0,100,2,0,0,1,-1.8684863242593241,0.99650000000000005,PASS,F23,baseline,reciprocity,uncalibrated,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P03_T,0,100,2,0,0,1,-1.3282026531180524,0.95650000000000002,PASS,F23,treatment,reciprocity,calibrated,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P04_B,0,100,2,0,0,1,0.91010875159515092,0.97099999999999997,PASS,F23,baseline,reciprocity,uncalibrated,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P04_T,0,100,2,0,0,1,1.4503924227364222,0.81999999999999995,PASS,F23,treatment,reciprocity,calibrated,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F23_P05_B,0,100,2,0,0,1,2.7941916448345703,0.91900000000000004,PASS,F23,baseline,reciprocity,uncalibrated,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
