RunID,ExperimentID,MobilityKMH,Blockage,ReportDelaySlots,BeamSwitches,WrongBeamSlots,OutageProbability,RecoveryLatencySlots,GoodputMbps,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F45_P01_T,3,false,0,0,0,0,0,0,PASS,F45,treatment,beam_selection,measured_ssb,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P02_B,3,false,0,0,0,0,0,0.095999999999998892,PASS,F45,baseline,beam_selection,geometry_oracle,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P02_T,3,false,0,0,0,0,0,9.6000000000000002e-05,PASS,F45,treatment,beam_selection,measured_ssb,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P03_B,3,false,0,0,0,0,0,0.095999999999998892,PASS,F45,baseline,beam_selection,geometry_oracle,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P03_T,3,false,0,0,0,0,0,0.0036480000000000011,PASS,F45,treatment,beam_selection,measured_ssb,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P04_B,3,false,0,0,0,0,0,0.095999999999998892,PASS,F45,baseline,beam_selection,geometry_oracle,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P04_T,3,false,0,0,0,0,0,0.01675200000000001,PASS,F45,treatment,beam_selection,measured_ssb,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P05_B,3,false,0,0,0,0,0,0.095999999999998892,PASS,F45,baseline,beam_selection,geometry_oracle,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P05_T,3,false,0,0,0,0,0,0.028800000000000023,PASS,F45,treatment,beam_selection,measured_ssb,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P06_B,3,false,0,0,0,0,0,0.095999999999998892,PASS,F45,baseline,beam_selection,geometry_oracle,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F45_P06_T,3,false,0,0,0,0,0,0.033216000000000023,PASS,F45,treatment,beam_selection,measured_ssb,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F46_P01_B,3,false,0,0,0,0,0,0,PASS,F46,baseline,refinement,disabled,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F46_P01_T,3,false,0,1,0,0,0,0,PASS,F46,treatment,refinement,CSI-RS,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F46_P02_B,3,false,0,0,0,0,0,0.000144,PASS,F46,baseline,refinement,disabled,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F46_P02_T,3,false,0,1,0,0,0,0.00024000000000000001,PASS,F46,treatment,refinement,CSI-RS,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F46_P03_B,3,false,0,0,0,0,0,0.0023040000000000001,PASS,F46,baseline,refinement,disabled,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
