Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,BeamSelectionStrategy,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,ExecutionModel,Status,TrialOrdinal,AbsoluteSlot,BeamDetectedFlag,MisalignmentFlag,BeamFailureFlag,PredictionSuccessFlag,TrialsSinceLastSwitch,StateBefore,StateAfter,BeamSweepEnabled,BeamCountConfigured
"DL",20,1,1,1,1,4,4,1,1,32,23.0810143847259,23.0810143847259,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|3|2|4","slot_coupled_truth","PASS",1,21,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",20,1,1,2,2,4,4,1,1,32,22.4316657180132,22.4316657180132,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|3|2|4","slot_coupled_truth","PASS",1,21,1,0,0,1,0,"uninitialized","aligned",1,32
