Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,ReceiverHestSINR_dB,ChannelGain_dB,BeamSelectionStrategy,BeamIndexSet,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,PrecoderSource,PrecodingMode,PrecodingApplicationStage,PrecodingActive,ExplicitBeamWeightsApplied,TransformPrecodingApplied,BeamformingApplied,AppliedPrecoderPMI,AppliedPrecoderPMIType,AppliedPrecoderCodebookMode,PrecodingNumPorts,PrecodingNumLayers,PrecodingMatrixRows,PrecodingMatrixCols,ExecutionModel,Status,BeamSweepEnabled,BeamCountConfigured
"DL",20,1,1,1,1,4,4,1,1,32,23.0810143847259,23.0810143847259,0,10.4661781105693,17.6459976596417,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|3|2|4","codebook_dft+hybrid-rf-element-domain","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type2","type2_mu_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
"DL",20,1,1,2,2,4,4,1,1,32,22.4316657180132,22.4316657180132,0,15.9445900882332,17.4334865998011,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|3|2|4","codebook_dft+hybrid-rf-element-domain","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type2","type2_mu_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
