relative_path,extension,bytes,sha256,width_px,height_px,format
channel/image/channel_configured_vs_applied.png,.png,117249,4f50044d0a11ac951b01c895895517a56d471e398d68d976bedf076643e19173,1275,815,PNG
component_anchors/protocol/protocol_stack/image/protocol_configured_events_by_layer.png,.png,30881,e8bd2f7897d997dee09ee3fb0c25f7c6855b0528c0d53a997b3f928584a20f79,1563,813,PNG
component_anchors/protocol/protocol_stack/image/protocol_configured_packets_by_direction.png,.png,30983,735913fa2e24b2ef8c6220130dcb4dd0b9482ab2d527c173f1be8e0d8f156113,1407,813,PNG
components/pdsch/png/pdsch_bler_vs_snr.png,.png,35771,4aeca99844952ae503870237f5eaeabbc4ddd20d8735d4ad4bc06db06004618b,1170,853,PNG
components/prach/png/prach_preamble_correlation.png,.png,32367,856d407debed98c11bd22c6f736766939f944a5516662ffc10a5ffdf3baf83c2,1176,852,PNG
components/pusch/png/pusch_bler_vs_snr.png,.png,39173,127a013433320222f569ebe60444c99f81ec69acd4b7c43bd7d858343b1289f0,1170,852,PNG
mimo/image/heatmap_beam_rank_trp_kpi.png,.png,48213,ee9b108783050607d549af32dc1a1e272fa1bb0a1049b21b10cbbe9cf262c24e,1194,719,PNG
pdsch/image/pdsch_bler_vs_snr.png,.png,35771,4aeca99844952ae503870237f5eaeabbc4ddd20d8735d4ad4bc06db06004618b,1170,853,PNG
prach/image/prach_preamble_correlation.png,.png,32367,856d407debed98c11bd22c6f736766939f944a5516662ffc10a5ffdf3baf83c2,1176,852,PNG
pusch/image/pusch_bler_vs_snr.png,.png,39173,127a013433320222f569ebe60444c99f81ec69acd4b7c43bd7d858343b1289f0,1170,852,PNG
reports/image/ber_vs_ecno.png,.png,34835,c6a7ebe872fbdc0ac5d5f393ebdf2b0c6dcbdc6ea1b711eb4211abbfa210ee47,1194,719,PNG
reports/image/ber_vs_sinr.png,.png,36424,2a23a02fb0c02806a1e46cf239b431fe8e140daf38370f57a54b998d1490cb32,1194,719,PNG
reports/image/bler_vs_ecno.png,.png,35015,d1f2777f0f03733ca397bd1592299d19d56b17ddd1358e9f7f0343942d770ab2,1194,719,PNG
reports/image/bler_vs_measured_posteq_sinr_bins_diagnostic.png,.png,45444,3cf81df69c023e5a5a8dbc0dc1a54225ce109c256b2669297933f2c35e5f4a94,1194,719,PNG
reports/image/bler_vs_sinr.png,.png,36659,17d4cfd1b6763ca84e96e3b4ab5bcdff451a0730aee80732cba82323af4a204e,1194,719,PNG
reports/image/cfo_to_tracking_traces.png,.png,61791,dc274205c99c9fd05645248ba0ab6ba8870fd06d69cddc2f2c7a67d920312258,1194,719,PNG
reports/image/complexity_vs_gain.png,.png,35896,f360e6eb4c113fef146fc608e9773501b081a80b63d54f55fd9ac05d5bbe4e80,1194,719,PNG
reports/image/control_pass_rates.png,.png,30899,13193bc75e404c6f0eea5765c305e845b65c9dfb1770455501094443fe27df95,1194,719,PNG
reports/image/distance_vs_sinr.png,.png,38920,8290788b29b3a7c2ffe6d47d55ef8884a3322978a716b4c544d3e01e8dc136d0,894,596,PNG
reports/image/equalized_constellations.png,.png,163503,f605151c393d3dad90ca1605da39ebb4eb6f012dd8440ce32b007060e467735c,1194,719,PNG
reports/image/heatmap_band_feature_kpi.png,.png,53304,39280f9ab0796acbbc5456a0e5d41ce073a2e19b9d7af50aaec10cf8045c3144,1194,719,PNG
reports/image/heatmap_beam_rank_trp_kpi.png,.png,48213,ee9b108783050607d549af32dc1a1e272fa1bb0a1049b21b10cbbe9cf262c24e,1194,719,PNG
reports/image/heatmap_impairment_kpi.png,.png,55257,129979e1f766ba92fb1cd4ccaa1077865358c6cf55304acf8c1c848006565675,1194,719,PNG
reports/image/latency_cdf.png,.png,67573,b20eb77ca6134023b71c0744f01a107cc42b8fe4cc24093eedf1893eb0d78bf2,1194,719,PNG
reports/image/llr_histograms.png,.png,32472,bc4cc62bfe37ecd3c59f9fd21e74648b3ca9c1cebb375617dd4d19caa8ffec29,1194,719,PNG
reports/image/measured_sinr_distribution.png,.png,36187,80c020434e71448a1df137d48a0db7aa0d178c2d25ea5705d2e1e1621b2e62af,877,596,PNG
reports/image/metric_coverage_by_category.png,.png,51682,fc1b558e4143a5248bfade808145e223925aae85db3a9e2a9664e230c6c241ea,1194,719,PNG
reports/image/papr_ccdf.png,.png,40092,c1023da8077ae4be3e82688c68961c6b5a14aea806884e40ff3fa5bfab2b54e6,1194,719,PNG
