    37
    43

    FieldOrder                   FieldName                   Present    WidthBits    BitStart    BitEnd    Value    ValueMin    ValueMax                SemanticSource                              ReleaseClause                 Generated    BitOffsetStart    BitOffsetEnd
    __________    _______________________________________    _______    _________    ________    ______    _____    ________    ________    _______________________________________    _______________________________________    _________    ______________    ____________

       NaN        "format_identifier"                         true          1            0          0        1         1            1       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false             0                0     
       NaN        "frequency_resource_assignment"             true          9            1          9       49         0          511       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false             1                9     
       NaN        "time_resource_assignment"                  true          1           10         10        0         0            1       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            10               10     
       NaN        "mcs"                                       true          5           11         15        4         0           31       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            11               15     
       NaN        "ndi"                                       true          1           16         16        1         0            1       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            16               16     
       NaN        "rv"                                        true          2           17         18        0         0            3       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            17               18     
       NaN        "harq_process"                              true          4           19         22        0         0            7       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            19               22     
       NaN        "dai"                                       true          2           23         24        1         0            3       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            23               24     
       NaN        "tpc_command_for_pucch"                     true          2           25         26        1         0            3       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            25               26     
       NaN        "pucch_resource_indicator"                  true          3           27         29        0         0            7       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            27               29     
       NaN        "pdsch_to_harq_feedback_timing"             true          3           30         32        1         0            7       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            30               32     
       NaN        "antenna_ports"                             true          4           33         36        0         0           15       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            33               36     
       NaN        "transmission_configuration_indication"     true          3           37         39        0         0            7       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            37               39     
       NaN        "srs_request"                               true          2           40         41        0         0            0       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            40               41     
       NaN        "dmrs_sequence_initialization"              true          1           42         42        0         0            1       "installed_connected_RRC_configuration"    "TS 38.212 V18.8.0 7.3.1.1.2/7.3.1.2.2"      false            42               42     

