RunID,ExperimentID,FamilyID,PairID,Variant,FactorName,FactorValue,BaselineFactorValue,Seed,TrialIndex,PayloadID,ChannelRealizationID,NoiseRealizationID,Channel,SNR_dB,SignalPresent,CorrectDecode,FalseAlarm,BitErrors,MeasuredSINR_dB,EVMPercent,TransmitPowerdBm,RuntimeMs,MemoryMB,PrimaryMetric,PrimaryMetricValue,ExecutionBackend,ApproximationMode,DependencyEvidence,Status
PUCCH_IMPACT_R18,F01-E01-B,F01,F01-P01,baseline,UCI bit ownership/order,BASE_1,BASE_1,11,1,PAY01_01,F01-F01-P01-CHANNEL-11,F01-F01-P01-NOISE-11,TDL-C,-6,1,0,0,11,-7.2006324042258,28.6979109901218,3.02059991327963,3843.2194,268.15625,BitMismatchCount,11,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E01-T,F01,F01-P01,treatment,UCI bit ownership/order,TREAT_1,BASE_1,11,1,PAY01_01,F01-F01-P01-CHANNEL-11,F01-F01-P01-NOISE-11,TDL-C,-6,1,0,0,13,-6.77622194876722,29.0354281030876,3.02059991327963,579.963,7.60546875,BitMismatchCount,13,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E02-B,F01,F01-P02,baseline,UCI bit ownership/order,BASE_2,BASE_2,23,2,PAY01_02,F01-F01-P02-CHANNEL-23,F01-F01-P02-NOISE-23,CDL-C,-3,1,0,0,12,-6.17582496534944,25.5071810647511,3.02059991327963,825.1199,16.9453125,BitMismatchCount,12,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E02-T,F01,F01-P02,treatment,UCI bit ownership/order,TREAT_2,BASE_2,23,2,PAY01_02,F01-F01-P02-CHANNEL-23,F01-F01-P02-NOISE-23,CDL-C,-3,1,0,0,14,-5.7980792929996,27.9340487168507,3.02059991327963,297.9287,2718.109375,BitMismatchCount,14,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E03-B,F01,F01-P03,baseline,UCI bit ownership/order,BASE_3,BASE_3,47,3,PAY01_03,F01-F01-P03-CHANNEL-47,F01-F01-P03-NOISE-47,AWGN,0,1,1,0,0,18.7768170454633,780.890042904823,3.02059991327963,235.9554,4.03515625,BitMismatchCount,0,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E03-T,F01,F01-P03,treatment,UCI bit ownership/order,TREAT_3,BASE_3,47,3,PAY01_03,F01-F01-P03-CHANNEL-47,F01-F01-P03-NOISE-47,AWGN,0,1,1,0,0,18.6248656633129,765.635203601274,3.02059991327963,117.6543,1,BitMismatchCount,0,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E04-B,F01,F01-P04,baseline,UCI bit ownership/order,BASE_4,BASE_4,89,4,PAY01_04,F01-F01-P04-CHANNEL-89,F01-F01-P04-NOISE-89,TDL-C,3,1,1,0,0,2.00867934068584,9.66060084893882,3.02059991327963,356.028,2.25390625,BitMismatchCount,0,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E04-T,F01,F01-P04,treatment,UCI bit ownership/order,TREAT_4,BASE_4,89,4,PAY01_04,F01-F01-P04-CHANNEL-89,F01-F01-P04-NOISE-89,TDL-C,3,1,0,0,16,1.75981188104305,10.1435906193905,3.02059991327963,176.2628,3.1796875,BitMismatchCount,16,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E05-B,F01,F01-P05,baseline,UCI bit ownership/order,BASE_5,BASE_5,11,5,PAY01_05,F01-F01-P05-CHANNEL-11,F01-F01-P05-NOISE-11,CDL-C,6,1,0,0,16,-0.611155947973048,6.07780051960458,3.02059991327963,229.333,1.25390625,BitMismatchCount,16,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E05-T,F01,F01-P05,treatment,UCI bit ownership/order,TREAT_5,BASE_5,11,5,PAY01_05,F01-F01-P05-CHANNEL-11,F01-F01-P05-NOISE-11,CDL-C,6,1,0,0,18,-0.651830666046304,6.32839361595824,3.02059991327963,163.7474,0.85546875,BitMismatchCount,18,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E06-B,F01,F01-P06,baseline,UCI bit ownership/order,BASE_6,BASE_6,23,6,PAY01_06,F01-F01-P06-CHANNEL-23,F01-F01-P06-NOISE-23,AWGN,9,1,1,0,0,27.7907667040733,781.549070631219,3.02059991327963,141.8639,2735.75390625,BitMismatchCount,0,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
PUCCH_IMPACT_R18,F01-E06-T,F01,F01-P06,treatment,UCI bit ownership/order,TREAT_6,BASE_6,23,6,PAY01_06,F01-F01-P06-CHANNEL-23,F01-F01-P06-NOISE-23,AWGN,9,1,1,0,0,27.8143234096147,783.942086774119,3.02059991327963,114.1154,2735.75390625,BitMismatchCount,0,production_component_and_waveform_truth,none,typed_pucch_production_state,PASS
