RunID,ExperimentID,FamilyID,CollisionType,ExactREOverlap,Orthogonal,ResolutionAction,CollisionRate,UCIRecoveryRate,Status
PUCCH_IMPACT_R18,F05-E02-T,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F05-E03-B,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F05-E03-T,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F05-E04-B,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F05-E04-T,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F05-E05-B,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F05-E05-T,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F05-E06-B,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F05-E06-T,F05,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E01-B,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E01-T,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E02-B,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E02-T,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E03-B,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E03-T,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E04-B,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E04-T,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E05-B,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E05-T,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E06-B,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F06-E06-T,F06,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E01-B,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E01-T,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E02-B,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E02-T,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E03-B,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E03-T,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E04-B,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E04-T,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E05-B,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E05-T,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E06-B,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F07-E06-T,F07,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E01-B,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E01-T,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E02-B,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E02-T,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E03-B,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E03-T,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E04-B,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E04-T,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E05-B,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E05-T,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E06-B,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F08-E06-T,F08,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E01-B,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E01-T,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E02-B,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E02-T,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E03-B,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E03-T,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E04-B,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E04-T,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
PUCCH_IMPACT_R18,F09-E05-B,F09,NON_OVERLAP,0,1,TRANSMIT_BOTH,0,1,PASS
