RunID,InteractionID,FactorA,FactorB,Metric,MainEffectA,MainEffectB,InteractionEffect,CILower,CIUpper,PValue,AdjustedPValue,Status
PUCCH_IMPACT_R18,INTERACTION-F01,F01_odd_pairs,F01_even_pairs,BitMismatchCount,1.33333333333333,6,-3.66666666666667,-9.78766876327362,2.45433542994028,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F02,F02_odd_pairs,F02_even_pairs,BLER,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F03,F03_odd_pairs,F03_even_pairs,HARQBitErrors,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F04,F04_odd_pairs,F04_even_pairs,HARQBitErrors,1.33333333333333,6,-3.66666666666667,-9.78766876327362,2.45433542994028,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F05,F05_odd_pairs,F05_even_pairs,SRLatencySlots,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F06,F06_odd_pairs,F06_even_pairs,BLER,0,0.333333333333333,-0.166666666666667,-1.16666666666667,0.833333333333333,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F07,F07_odd_pairs,F07_even_pairs,BLER,0,0.333333333333333,-0.166666666666667,-1.16666666666667,0.833333333333333,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F08,F08_odd_pairs,F08_even_pairs,BLER,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F09,F09_odd_pairs,F09_even_pairs,BLER,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F10,F10_odd_pairs,F10_even_pairs,BitMismatchCount,1.33333333333333,6,-3.66666666666667,-9.78766876327362,2.45433542994028,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F11,F11_odd_pairs,F11_even_pairs,ResourceSelectionError,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F12,F12_odd_pairs,F12_even_pairs,BLER,0.333333333333333,0,-0.166666666666667,-1.16666666666667,0.833333333333333,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F13,F13_odd_pairs,F13_even_pairs,CrossCorrelation,2.22044604925031e-16,-2.22044604925031e-16,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F14,F14_odd_pairs,F14_even_pairs,CrossCorrelation,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F15,F15_odd_pairs,F15_even_pairs,SpectralEfficiency,-0.729166666666667,-0.729166666666667,0.729166666666666,-0.270833333333334,1.72916666666667,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F16,F16_odd_pairs,F16_even_pairs,BLER,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.666666666666667,1.33333333333333,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F17,F17_odd_pairs,F17_even_pairs,BLER,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F18,F18_odd_pairs,F18_even_pairs,BLER,-0.333333333333333,0.333333333333333,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F19,F19_odd_pairs,F19_even_pairs,BLER,-0.333333333333333,0.333333333333333,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F20,F20_odd_pairs,F20_even_pairs,CrossCorrelation,-2.59052039079203e-16,2.59052039079203e-16,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F21,F21_odd_pairs,F21_even_pairs,Occupancy,-1.33333333333333,-0.333333333333333,0.833333333333333,-0.166666666666667,1.83333333333333,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F22,F22_odd_pairs,F22_even_pairs,LatencySlots,1,1,-1,-2,0,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F23,F23_odd_pairs,F23_even_pairs,AvailabilityProbability,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F24,F24_odd_pairs,F24_even_pairs,ResourceSelectionError,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F25,F25_odd_pairs,F25_even_pairs,ResourceSelectionError,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F26,F26_odd_pairs,F26_even_pairs,GrantSuccess,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F27,F27_odd_pairs,F27_even_pairs,GrantSuccess,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F28,F28_odd_pairs,F28_even_pairs,UCIRecoveryRate,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F29,F29_odd_pairs,F29_even_pairs,CollisionRate,1,1,-1,-2,0,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F30,F30_odd_pairs,F30_even_pairs,CollisionRate,1,1,-1,-2,0,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F31,F31_odd_pairs,F31_even_pairs,CollisionRate,1,1,-1,-2,0,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F32,F32_odd_pairs,F32_even_pairs,PowerError_dB,-2.13833580472074e-15,1.84227633148737e-15,1.48029736616688e-16,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F33,F33_odd_pairs,F33_even_pairs,PowerError_dB,1.48029736616688e-16,2.22044604925031e-16,-1.85037170770859e-16,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F34,F34_odd_pairs,F34_even_pairs,PowerError_dB,1.94289029309402e-15,-2.73855012740872e-15,3.97829917157348e-16,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F35,F35_odd_pairs,F35_even_pairs,EVM,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F36,F36_odd_pairs,F36_even_pairs,BLER,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F37,F37_odd_pairs,F37_even_pairs,PowerError_dB,-1.92438657601694e-15,-1.1842378929335e-15,1.55431223447522e-15,-0.999999999999998,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F38,F38_odd_pairs,F38_even_pairs,BLER,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F39,F39_odd_pairs,F39_even_pairs,BLER,0.333333333333333,0,-0.166666666666667,-1.16666666666667,0.833333333333333,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F40,F40_odd_pairs,F40_even_pairs,BLER,-0.333333333333333,0.333333333333333,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F41,F41_odd_pairs,F41_even_pairs,BLER,-0.333333333333333,0,0.166666666666667,-0.833333333333333,1.16666666666667,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F42,F42_odd_pairs,F42_even_pairs,BLER,0.333333333333333,0.666666666666667,-0.5,-1.5,0.5,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F43,F43_odd_pairs,F43_even_pairs,BLER,0.333333333333333,0.333333333333333,-0.333333333333333,-1.33333333333333,0.666666666666667,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F44,F44_odd_pairs,F44_even_pairs,BLER,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F45,F45_odd_pairs,F45_even_pairs,FalseAlarmProbability,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F46,F46_odd_pairs,F46_even_pairs,FalseGrantProbability,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F47,F47_odd_pairs,F47_even_pairs,FalseDecodeProbability,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F48,F48_odd_pairs,F48_even_pairs,FalseDecodeProbability,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F49,F49_odd_pairs,F49_even_pairs,BLER,0,0,0,-1,1,1,1,PASS
PUCCH_IMPACT_R18,INTERACTION-F50,F50_odd_pairs,F50_even_pairs,RuntimeMs,-8.37206666666667,-9.02926666666666,8.70066666666667,-3.70513483290064,21.106468166234,1,1,PASS
