RunID,ExperimentID,FamilyID,PairID,Variant,Trials,BlockErrors,BitErrors,FalseAlarms,BLER,BLERCILower,BLERCIUpper,FalseAlarmProbability,FalseAlarmCIUpper,MeanSINR_dB,MeanEVMPercent,MeanPowerdBm,MeanRuntimeMs,MeanMemoryMB,Incomplete,Status
PUCCH_IMPACT_R18,F01-E01-B,F01,F01-P01,baseline,1,1,11,0,1,0.206549314377237,1,0,0.793450685622763,-7.2006324042258,28.6979109901218,3.02059991327963,3843.2194,268.15625,0,PASS
PUCCH_IMPACT_R18,F01-E01-T,F01,F01-P01,treatment,1,1,13,0,1,0.206549314377237,1,0,0.793450685622763,-6.77622194876722,29.0354281030876,3.02059991327963,579.963,7.60546875,0,PASS
PUCCH_IMPACT_R18,F01-E02-B,F01,F01-P02,baseline,1,1,12,0,1,0.206549314377237,1,0,0.793450685622763,-6.17582496534944,25.5071810647511,3.02059991327963,825.1199,16.9453125,0,PASS
PUCCH_IMPACT_R18,F01-E02-T,F01,F01-P02,treatment,1,1,14,0,1,0.206549314377237,1,0,0.793450685622763,-5.7980792929996,27.9340487168507,3.02059991327963,297.9287,2718.109375,0,PASS
PUCCH_IMPACT_R18,F01-E03-B,F01,F01-P03,baseline,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,18.7768170454633,780.890042904823,3.02059991327963,235.9554,4.03515625,0,PASS
PUCCH_IMPACT_R18,F01-E03-T,F01,F01-P03,treatment,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,18.6248656633129,765.635203601274,3.02059991327963,117.6543,1,0,PASS
PUCCH_IMPACT_R18,F01-E04-B,F01,F01-P04,baseline,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,2.00867934068584,9.66060084893882,3.02059991327963,356.028,2.25390625,0,PASS
PUCCH_IMPACT_R18,F01-E04-T,F01,F01-P04,treatment,1,1,16,0,1,0.206549314377237,1,0,0.793450685622763,1.75981188104305,10.1435906193905,3.02059991327963,176.2628,3.1796875,0,PASS
PUCCH_IMPACT_R18,F01-E05-B,F01,F01-P05,baseline,1,1,16,0,1,0.206549314377237,1,0,0.793450685622763,-0.611155947973048,6.07780051960458,3.02059991327963,229.333,1.25390625,0,PASS
PUCCH_IMPACT_R18,F01-E05-T,F01,F01-P05,treatment,1,1,18,0,1,0.206549314377237,1,0,0.793450685622763,-0.651830666046304,6.32839361595824,3.02059991327963,163.7474,0.85546875,0,PASS
PUCCH_IMPACT_R18,F01-E06-B,F01,F01-P06,baseline,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,27.7907667040733,781.549070631219,3.02059991327963,141.8639,2735.75390625,0,PASS
PUCCH_IMPACT_R18,F01-E06-T,F01,F01-P06,treatment,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,27.8143234096147,783.942086774119,3.02059991327963,114.1154,2735.75390625,0,PASS
PUCCH_IMPACT_R18,F02-E01-B,F02,F02-P01,baseline,1,1,2,0,1,0.206549314377237,1,0,0.793450685622763,-0.188515568468461,3.862105579736,-3,508.9196,6.05078125,0,PASS
PUCCH_IMPACT_R18,F02-E01-T,F02,F02-P01,treatment,1,1,3,0,1,0.206549314377237,1,0,0.793450685622763,-6.74601797449963,31.5741230342834,3.02059991327963,177.724,1.58984375,0,PASS
PUCCH_IMPACT_R18,F02-E02-B,F02,F02-P02,baseline,1,1,3,0,1,0.206549314377237,1,0,0.793450685622763,-6.28202401941759,25.2816461294501,3.02059991327963,267.6513,2,0,PASS
PUCCH_IMPACT_R18,F02-E02-T,F02,F02-P02,treatment,1,1,4,0,1,0.206549314377237,1,0,0.793450685622763,-6.02391955229786,24.5618552957935,3.02059991327962,142.9747,0.5546875,0,PASS
PUCCH_IMPACT_R18,F02-E03-B,F02,F02-P03,baseline,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,18.4776149139476,751.151138565168,3.02059991327963,531.5789,3.5234375,0,PASS
PUCCH_IMPACT_R18,F02-E03-T,F02,F02-P03,treatment,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,18.7361611014231,776.788720167596,3.02059991327963,107.1496,0.375,0,PASS
PUCCH_IMPACT_R18,F02-E04-B,F02,F02-P04,baseline,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,1.9421103147596,10.7115570104483,3.02059991327963,124.3665,0.61328125,0,PASS
PUCCH_IMPACT_R18,F02-E04-T,F02,F02-P04,treatment,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,1.94051957626609,9.57541315607183,3.02059991327963,125.9271,0.25390625,0,PASS
PUCCH_IMPACT_R18,F02-E05-B,F02,F02-P05,baseline,1,1,19,0,1,0.206549314377237,1,0,0.793450685622763,-0.590086096759417,6.24439885527043,3.02059991327963,131.3755,0.25390625,0,PASS
PUCCH_IMPACT_R18,F02-E05-T,F02,F02-P05,treatment,1,1,20,0,1,0.206549314377237,1,0,0.793450685622763,-0.589138163948678,6.56742634757546,3.02059991327963,146.3268,2751.09375,0,PASS
PUCCH_IMPACT_R18,F02-E06-B,F02,F02-P06,baseline,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,27.8797442270194,790.618058738884,3.02059991327963,119.9108,2751.0625,0,PASS
PUCCH_IMPACT_R18,F02-E06-T,F02,F02-P06,treatment,1,0,0,0,0,0,0.793450685622763,0,0.793450685622763,27.8375931227834,786.312317709092,3.02059991327963,88.8124,2751.0625,0,PASS
PUCCH_IMPACT_R18,F03-E01-B,F03,F03-P01,baseline,1,1,20,0,1,0.206549314377237,1,0,0.793450685622763,-7.03673801620062,28.5332724009568,3.02059991327963,348.3026,2751.0625,0,PASS
