RunID,ExperimentID,FamilyID,Format,NumSymbols,NumPRBs,DMRSSymbols,CyclicShift,OCCIndex,CrossCorrelation,BLER,Status
PUCCH_IMPACT_R18,F01-E01-B,F01,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F01-E01-T,F01,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F01-E02-B,F01,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F01-E02-T,F01,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F01-E03-B,F01,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F01-E03-T,F01,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F01-E04-B,F01,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F01-E04-T,F01,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F01-E05-B,F01,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F01-E05-T,F01,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F01-E06-B,F01,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F01-E06-T,F01,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F02-E01-B,F02,1,4,1,24,0,0,1,1,PASS
PUCCH_IMPACT_R18,F02-E01-T,F02,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F02-E02-B,F02,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F02-E02-T,F02,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F02-E03-B,F02,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F02-E03-T,F02,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F02-E04-B,F02,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F02-E04-T,F02,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F02-E05-B,F02,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F02-E05-T,F02,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F02-E06-B,F02,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F02-E06-T,F02,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F03-E01-B,F03,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F03-E01-T,F03,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F03-E02-B,F03,3,4,4,48,0,0,1,1,PASS
PUCCH_IMPACT_R18,F03-E02-T,F03,3,4,4,48,0,0,1,1,PASS
PUCCH_IMPACT_R18,F03-E03-B,F03,4,4,1,12,0,0,1,0,PASS
PUCCH_IMPACT_R18,F03-E03-T,F03,4,4,1,12,0,0,1,0,PASS
PUCCH_IMPACT_R18,F03-E04-B,F03,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F03-E04-T,F03,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F03-E05-B,F03,3,4,4,48,0,0,1,1,PASS
PUCCH_IMPACT_R18,F03-E05-T,F03,3,4,4,48,0,0,1,1,PASS
PUCCH_IMPACT_R18,F03-E06-B,F03,4,4,1,12,0,0,1,0,PASS
PUCCH_IMPACT_R18,F03-E06-T,F03,4,4,1,12,0,0,1,0,PASS
PUCCH_IMPACT_R18,F04-E01-B,F04,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F04-E01-T,F04,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F04-E02-B,F04,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F04-E02-T,F04,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F04-E03-B,F04,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F04-E03-T,F04,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F04-E04-B,F04,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F04-E04-T,F04,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F04-E05-B,F04,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F04-E05-T,F04,2,2,4,32,0,0,1,1,PASS
PUCCH_IMPACT_R18,F04-E06-B,F04,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F04-E06-T,F04,2,2,4,32,0,0,1,0,PASS
PUCCH_IMPACT_R18,F05-E01-B,F05,2,2,4,32,0,0,1,1,PASS
