RunID,ExperimentID,FamilyID,Channel,SNR_dB,CFOHz,TimingOffsetSamples,PhaseNoiseProfile,MeasuredSINR_dB,EVMPercent,BLER,FalseAlarmProbability,Status
PUCCH_IMPACT_R18,F04-E03-B,F04,AWGN,0,0,0,disabled,18.7768170454633,780.890042904823,0,0,PASS
PUCCH_IMPACT_R18,F04-E03-T,F04,AWGN,0,0,0,disabled,18.6248656633129,765.635203601274,0,0,PASS
PUCCH_IMPACT_R18,F04-E04-B,F04,TDL-C,3,0,0,disabled,2.00867934068584,9.66060084893882,0,0,PASS
PUCCH_IMPACT_R18,F04-E04-T,F04,TDL-C,3,0,0,disabled,1.75981188104305,10.1435906193905,1,0,PASS
PUCCH_IMPACT_R18,F04-E05-B,F04,CDL-C,6,0,0,disabled,-0.611155947973048,6.07780051960458,1,0,PASS
PUCCH_IMPACT_R18,F04-E05-T,F04,CDL-C,6,0,0,disabled,-0.651830666046304,6.32839361595824,1,0,PASS
PUCCH_IMPACT_R18,F04-E06-B,F04,AWGN,9,0,0,disabled,27.7907667040733,781.549070631219,0,0,PASS
PUCCH_IMPACT_R18,F04-E06-T,F04,AWGN,9,0,0,disabled,27.8143234096147,783.942086774119,0,0,PASS
PUCCH_IMPACT_R18,F05-E01-B,F05,TDL-C,-6,0,0,disabled,-7.03673801620062,28.5332724009568,1,0,PASS
PUCCH_IMPACT_R18,F05-E01-T,F05,TDL-C,-6,0,0,disabled,-6.82699208078549,29.9157132762034,1,0,PASS
PUCCH_IMPACT_R18,F05-E02-B,F05,CDL-C,-3,0,0,disabled,-8.10829617365166,27.7406904444605,1,0,PASS
PUCCH_IMPACT_R18,F05-E02-T,F05,CDL-C,-3,0,0,disabled,-8.13254115767481,29.6119599070009,1,0,PASS
PUCCH_IMPACT_R18,F05-E03-B,F05,AWGN,0,0,0,disabled,21.7259534436299,517.0821874425,0,0,PASS
PUCCH_IMPACT_R18,F05-E03-T,F05,AWGN,0,0,0,disabled,21.9213704008563,531.155020243951,0,0,PASS
PUCCH_IMPACT_R18,F05-E04-B,F05,TDL-C,3,0,0,disabled,1.96426972571311,9.55536817412589,0,0,PASS
PUCCH_IMPACT_R18,F05-E04-T,F05,TDL-C,3,0,0,disabled,1.86150712386256,10.3867467354979,0,0,PASS
PUCCH_IMPACT_R18,F05-E05-B,F05,CDL-C,6,0,0,disabled,1.27385694580747,8.3261610357554,1,0,PASS
PUCCH_IMPACT_R18,F05-E05-T,F05,CDL-C,6,0,0,disabled,1.32467391842112,8.5741163548422,1,0,PASS
PUCCH_IMPACT_R18,F05-E06-B,F05,AWGN,9,0,0,disabled,30.7850527612799,522.072934971282,0,0,PASS
PUCCH_IMPACT_R18,F05-E06-T,F05,AWGN,9,0,0,disabled,30.830076691642,525.303990333436,0,0,PASS
PUCCH_IMPACT_R18,F06-E01-B,F06,TDL-C,-6,0,0,disabled,-6.91272232764657,28.7206579363348,1,0,PASS
PUCCH_IMPACT_R18,F06-E01-T,F06,TDL-C,-6,0,0,disabled,-6.77622194876722,29.0354281030876,1,0,PASS
PUCCH_IMPACT_R18,F06-E02-B,F06,CDL-C,-3,0,0,disabled,-6.12599411051576,25.6928061001449,1,0,PASS
PUCCH_IMPACT_R18,F06-E02-T,F06,CDL-C,-3,0,0,disabled,-5.7980792929996,27.9340487168507,1,0,PASS
PUCCH_IMPACT_R18,F06-E03-B,F06,AWGN,0,0,0,disabled,18.9579177875008,799.385988899302,0,0,PASS
PUCCH_IMPACT_R18,F06-E03-T,F06,AWGN,0,0,0,disabled,18.6248656633129,765.635203601274,0,0,PASS
PUCCH_IMPACT_R18,F06-E04-B,F06,TDL-C,3,0,0,disabled,1.98963202937154,10.171123852746,0,0,PASS
PUCCH_IMPACT_R18,F06-E04-T,F06,TDL-C,3,0,0,disabled,1.75981188104305,10.1435906193905,1,0,PASS
PUCCH_IMPACT_R18,F06-E05-B,F06,CDL-C,6,0,0,disabled,-0.584045989579077,5.93261442936389,1,0,PASS
PUCCH_IMPACT_R18,F06-E05-T,F06,CDL-C,6,0,0,disabled,-0.651830666046304,6.32839361595824,1,0,PASS
PUCCH_IMPACT_R18,F06-E06-B,F06,AWGN,9,0,0,disabled,27.7190977584748,774.30536496157,0,0,PASS
PUCCH_IMPACT_R18,F06-E06-T,F06,AWGN,9,0,0,disabled,27.8143234096147,783.942086774119,0,0,PASS
PUCCH_IMPACT_R18,F07-E01-B,F07,TDL-C,-6,0,0,disabled,-6.91272232764657,28.7206579363348,1,0,PASS
PUCCH_IMPACT_R18,F07-E01-T,F07,TDL-C,-6,0,0,disabled,-6.77622194876722,29.0354281030876,1,0,PASS
PUCCH_IMPACT_R18,F07-E02-B,F07,CDL-C,-3,0,0,disabled,-6.12599411051576,25.6928061001449,1,0,PASS
PUCCH_IMPACT_R18,F07-E02-T,F07,CDL-C,-3,0,0,disabled,-5.7980792929996,27.9340487168507,1,0,PASS
