RunID,RuleID,FamilyID,Severity,Metric,ObservedValue,Threshold,Passed,EvidenceCSV,Status
PUCCH_IMPACT_R18,RULE-F01,F01,HARD,BitMismatchCount,8.33333333333333,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F02,F02,HARD,BLER,0.5,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F03,F03,HARD,HARQBitErrors,10,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F04,F04,HARD,HARQBitErrors,8.33333333333333,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F05,F05,HARD,SRLatencySlots,1,see_prompt,1,pucch_impact_resource_timing.csv,PASS
PUCCH_IMPACT_R18,RULE-F06,F06,HARD,BLER,0.583333333333333,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F07,F07,HARD,BLER,0.583333333333333,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F08,F08,HARD,BLER,0.5,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F09,F09,HARD,BLER,0.5,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F10,F10,HARD,BitMismatchCount,8.33333333333333,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F11,F11,HARD,ResourceSelectionError,0,see_prompt,1,pucch_impact_resource_timing.csv,PASS
PUCCH_IMPACT_R18,RULE-F12,F12,HARD,BLER,0.416666666666667,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F13,F13,HARD,CrossCorrelation,1,see_prompt,1,pucch_impact_formats_dmrs.csv,PASS
PUCCH_IMPACT_R18,RULE-F14,F14,HARD,CrossCorrelation,1,see_prompt,1,pucch_impact_formats_dmrs.csv,PASS
PUCCH_IMPACT_R18,RULE-F15,F15,HARD,SpectralEfficiency,0.46875,see_prompt,1,pucch_impact_formats_dmrs.csv,PASS
PUCCH_IMPACT_R18,RULE-F16,F16,HARD,BLER,0.5,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F17,F17,HARD,BLER,0.333333333333333,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F18,F18,HARD,BLER,0.5,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F19,F19,HARD,BLER,0.5,see_prompt,1,pucch_impact_operating_points.csv,PASS
PUCCH_IMPACT_R18,RULE-F20,F20,HARD,CrossCorrelation,1,see_prompt,1,pucch_impact_formats_dmrs.csv,PASS
