RunID,ExperimentID,FamilyID,PRBs,Symbols,Reports,UEs,RuntimeMs,MemoryMB,ThroughputTrialsPerSecond,Status
PUCCH_IMPACT_R18,F01-E01-B,F01,4,2,3,1,3843.2194,268.15625,0.260198520022042,PASS
PUCCH_IMPACT_R18,F01-E01-T,F01,4,2,3,1,579.963,7.60546875,1.72424792616081,PASS
PUCCH_IMPACT_R18,F01-E02-B,F01,4,2,3,1,825.1199,16.9453125,1.21194507610349,PASS
PUCCH_IMPACT_R18,F01-E02-T,F01,4,2,3,1,297.9287,2718.109375,3.35650778189547,PASS
PUCCH_IMPACT_R18,F01-E03-B,F01,4,2,3,1,235.9554,4.03515625,4.23808906259403,PASS
PUCCH_IMPACT_R18,F01-E03-T,F01,4,2,3,1,117.6543,1,8.49947685719944,PASS
PUCCH_IMPACT_R18,F01-E04-B,F01,4,2,3,1,356.028,2.25390625,2.80876784971968,PASS
PUCCH_IMPACT_R18,F01-E04-T,F01,4,2,3,1,176.2628,3.1796875,5.67334684346328,PASS
PUCCH_IMPACT_R18,F01-E05-B,F01,4,2,3,1,229.333,1.25390625,4.36047145417363,PASS
PUCCH_IMPACT_R18,F01-E05-T,F01,4,2,3,1,163.7474,0.85546875,6.10696719459362,PASS
PUCCH_IMPACT_R18,F01-E06-B,F01,4,2,3,1,141.8639,2735.75390625,7.04900964938931,PASS
PUCCH_IMPACT_R18,F01-E06-T,F01,4,2,3,1,114.1154,2735.75390625,8.76305914889664,PASS
PUCCH_IMPACT_R18,F02-E01-B,F02,1,4,1,1,508.9196,6.05078125,1.96494691892393,PASS
PUCCH_IMPACT_R18,F02-E01-T,F02,4,2,1,1,177.724,1.58984375,5.62670207737841,PASS
PUCCH_IMPACT_R18,F02-E02-B,F02,4,2,1,1,267.6513,2,3.73620453179193,PASS
PUCCH_IMPACT_R18,F02-E02-T,F02,4,2,1,1,142.9747,0.5546875,6.99424443625341,PASS
PUCCH_IMPACT_R18,F02-E03-B,F02,4,2,1,1,531.5789,3.5234375,1.88118828644252,PASS
PUCCH_IMPACT_R18,F02-E03-T,F02,4,2,1,1,107.1496,0.375,9.33274599251887,PASS
PUCCH_IMPACT_R18,F02-E04-B,F02,4,2,1,1,124.3665,0.61328125,8.04075052365388,PASS
PUCCH_IMPACT_R18,F02-E04-T,F02,4,2,1,1,125.9271,0.25390625,7.94110243148615,PASS
PUCCH_IMPACT_R18,F02-E05-B,F02,4,2,1,1,131.3755,0.25390625,7.61176931771906,PASS
PUCCH_IMPACT_R18,F02-E05-T,F02,4,2,1,1,146.3268,2751.09375,6.83401810194715,PASS
PUCCH_IMPACT_R18,F02-E06-B,F02,4,2,1,1,119.9108,2751.0625,8.33953238574007,PASS
PUCCH_IMPACT_R18,F02-E06-T,F02,4,2,1,1,88.8124,2751.0625,11.2596889623521,PASS
PUCCH_IMPACT_R18,F03-E01-B,F03,4,2,1,1,348.3026,2751.0625,2.87106671038344,PASS
PUCCH_IMPACT_R18,F03-E01-T,F03,4,2,1,1,122.4308,2751.0625,8.16787932448371,PASS
PUCCH_IMPACT_R18,F03-E02-B,F03,4,4,1,1,385.7172,11.0625,2.59257300426323,PASS
PUCCH_IMPACT_R18,F03-E02-T,F03,4,4,1,1,143.3017,2763.125,6.97828427715791,PASS
PUCCH_IMPACT_R18,F03-E03-B,F03,1,4,1,1,226.4832,3,4.41533853283599,PASS
PUCCH_IMPACT_R18,F03-E03-T,F03,1,4,1,1,100.9867,0.25390625,9.90229406446591,PASS
