RunID,FamilyID,Wave,ExperimentsExpected,ExperimentsExecuted,HardRulesPassed,HardRulesFailed,StatisticalRulesPassed,InconclusiveCount,BlockedCount,PrimaryConclusion,Status
PUCCH_IMPACT_R18,F01,A,12,12,2,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F02,A,12,12,2,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F03,A,12,12,2,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F04,A,12,12,2,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F05,A,12,12,2,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F06,A,12,12,2,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F07,A,12,12,2,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F08,A,12,12,1,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F09,A,12,12,1,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F10,A,12,12,1,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F11,A,12,12,1,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F12,A,12,12,1,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F13,A,12,12,1,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F14,A,12,12,1,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F15,A,12,12,1,0,1,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F16,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F17,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F18,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F19,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F20,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F21,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F22,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F23,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F24,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F25,A,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F26,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
PUCCH_IMPACT_R18,F27,B,12,12,1,0,0,0,0,all_frozen_rows_executed_with_owning_production_components,PASS
