Direction,SignalFamily,SNR_dB,SFN,Frame,Slot,Time_s,CellID,BWPID,UEIndex,RNTI,ResourceID,ResourceSetID,CSIRSType,NumPorts,RowNumber,Density,Periodicity,SymbolLocations,SubcarrierLocations,RBOffset,NumRB,NRE,Scheduled,Transmitted,Observed,Consumed,Consumer,MeasurementRSRP_dB,MeasurementSource,UpdateOutcome,RuntimeMaterializationStatus,RuntimeEvidenceSource,RuntimeEventObserved,SourceArtifact,SourceTable
"DL","CSI-RS",20,1,1,1,0,1,0,1,1,0,0,"nzp",4,4,"one","on","0","0",0,24,192,1,1,1,1,"csi_feedback_reference_power_measurement",20.0318938040497,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","post_canonical_auxiliary_grid_mapping","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv"
"DL","CSI-RS",20,1,1,1,0,1,0,2,2,0,0,"nzp",4,4,"one","on","0","0",0,24,192,1,1,1,1,"csi_feedback_reference_power_measurement",19.8564072174908,"received_csirs_reference_signal_power","observed_after_ofdm_demodulation","post_canonical_auxiliary_grid_mapping","sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation",1,"air_interface/csv/csi_rs_trials.csv","air_interface/csv/csi_rs_trials.csv"
