RunId,Direction,ConfiguredRank,DominantScheduledRank,DominantTransmittedRank,DominantEffectiveDecodedRank,ConfiguredLayers,DominantScheduledLayers,DominantTransmittedLayers,DominantEffectiveDecodedLayers,ConfiguredModulation,DominantEffectiveModulation,ConfiguredMCS,ConfiguredInitialMCS,ConfiguredMaximumMCS,DominantEffectiveMCS,AdaptiveMode,StrictEligibleRowCount,ExactMatchRowCount,ExactMatchPercent,ExactSpatialMatchRowCount,ExactSpatialMatchPercent,ExactOperatingPointMatchRowCount,ExactOperatingPointMatchPercent,AdaptivePolicyMatchRowCount,AdaptivePolicyMatchPercent,ExecutionContractMatchRowCount,ExecutionContractMatchPercent,SpatialContractRequired,SpatialContractMatch,FixedOperatingPointRequired,FixedOperatingPointMatch,AdaptivePolicyRequired,AdaptivePolicyConformance,MUExecutionRequired,RequiredMUUserCount,RequiredMULeakageThreshold_dB,RequiredMUExecutionMode,MUExecutedTrialRowCount,MUExecutedDistinctGroupCount,MUExecutionMatch,MUExecutionFailureReason,RequiredExecutionContractMatchPercent,ScenarioObjectivePass,RuntimePopulated,RuntimeTrialCount,RuntimeRank2Fraction,RuntimeExactMatchFraction,RuntimeMeanConditionNumber_dB,RuntimeEvidenceSource,EvidenceClass,Status,FailureReason
"","DL",2,2,2,2,2,2,2,2,"256QAM","64QAM",20,1,20,19,1,6,0,0,6,1,0,0,6,1,6,1,1,1,0,0,1,1,1,2,-15,"shared_slot_waveform_superposition",0,0,0,"no_shared_prb_mu_trial_rows",0.999,0,1,6,1,0,38.7839232379148,"rank_layer_trials_from_air_interface_raw_trials","DIRECT_RUNTIME_EVIDENCE","fail","mu_execution_contract_failed:no_shared_prb_mu_trial_rows"
"","UL",2,2,2,2,2,2,2,2,"256QAM","64QAM",20,1,20,19,1,2,0,0,2,1,0,0,2,1,2,1,1,1,0,0,1,1,1,2,-15,"shared_slot_waveform_superposition",0,0,0,"no_shared_prb_mu_trial_rows",0.999,0,1,2,1,0,9.13239696280113,"rank_layer_trials_from_air_interface_raw_trials","DIRECT_RUNTIME_EVIDENCE","fail","mu_execution_contract_failed:no_shared_prb_mu_trial_rows"
