RunId,Direction,ArrayGeometryId,PhysicalTxAntennaCount,PhysicalRxAntennaCount,TxRFChainCount,RxRFChainCount,TxAntennaPortCount,RxAntennaPortCount,ObservedTxPortCount,ObservedRxAntennaCount,RuntimePopulated,FullElementDomainRequired,ExpectedRuntimeTxCount,ExpectedRuntimeRxCount,ExactRuntimeAntennaMatch,ObservedPhysicalTxAntennaCount,ObservedPhysicalRxAntennaCount,ObservedLogicalTxPortCount,ObservedLogicalRxBranchCount,LogicalPortLayerMatch,RuntimeAntennaObjectCreated,ChannelUsesSameRuntimeAntennaAssumptions,NominalCapabilityOnly,EvidenceClass,RuntimeEvidenceSource,SourceHash,Status,FailureReason
"","DL","scenario_config_array_counts",64,4,4,4,2,2,4,4,1,1,64,4,1,64,4,2,2,1,1,1,0,"CONFIGURATION_WITH_DIRECT_RUNTIME_TRIAL_EVIDENCE","rank_layer_trials_from_air_interface_raw_trials","e04d7a488ddc489b79796e47e02e196a8b85497f25462bcc9ea4e695ccc3f27e","pass",""
"","UL","scenario_config_array_counts",4,64,4,4,2,2,2,64,1,1,4,64,1,4,64,2,2,1,1,1,0,"CONFIGURATION_WITH_DIRECT_RUNTIME_TRIAL_EVIDENCE","rank_layer_trials_from_air_interface_raw_trials","09ef62bde1f4ac9b6f1ce431626e0e247aaac65ab270a4644ecff8e96c5065d1","pass",""
