RunId,TrialId,CellId,UEId,Direction,Slot,LayerIndex,CodewordIndex,DMRSPort,PostEqSINRdB,EVMdB,ChannelEstimateNMSEdB,LLRMeanAbs,DecodeCrcPass,BER,BLERContribution,Status
"",1,1,1,"DL",16,1,1,0,32.3246,-28.9341406057481,-31.5661212570542,174.172911630881,1,0,0,"pass"
"",1,1,1,"DL",16,2,1,1,30.2808,-28.9341406057481,-31.5661212570542,174.172911630881,1,0,0,"pass"
"",2,1,2,"DL",16,1,1,0,30.9069,-28.3547407977967,-32.1865515913475,151.322895464396,1,0,0,"pass"
"",2,1,2,"DL",16,2,1,1,30.2563,-28.3547407977967,-32.1865515913475,151.322895464396,1,0,0,"pass"
"",3,1,3,"DL",17,1,1,0,28.278,-26.7927873187623,-29.5798717430547,100.674941339971,1,0,0,"pass"
"",3,1,3,"DL",17,2,1,1,29.4101,-26.7927873187623,-29.5798717430547,100.674941339971,1,0,0,"pass"
"",4,1,4,"DL",17,1,1,0,29.1263,-26.1090116537023,-29.5501183932989,86.8709526829578,1,0,0,"pass"
"",4,1,4,"DL",17,2,1,1,27.3829,-26.1090116537023,-29.5501183932989,86.8709526829578,1,0,0,"pass"
"",5,1,1,"DL",18,1,1,0,32.3246,-28.9486537163731,-31.5661212570542,173.997741332251,1,0,0,"pass"
"",5,1,1,"DL",18,2,1,1,30.2808,-28.9486537163731,-31.5661212570542,173.997741332251,1,0,0,"pass"
"",6,1,2,"DL",18,1,1,0,30.9069,-28.3147137846185,-32.1865515913475,150.839825284575,1,0,0,"pass"
"",6,1,2,"DL",18,2,1,1,30.2563,-28.3147137846185,-32.1865515913475,150.839825284575,1,0,0,"pass"
"",1,1,1,"UL",20,1,1,0,27.7447,-28.4103366845378,3.83110566312796,103.232744347465,1,0,0,"pass"
"",1,1,1,"UL",20,2,1,1,30.8001,-28.4103366845378,3.83110566312796,103.232744347465,1,0,0,"pass"
"",2,1,2,"UL",20,1,1,0,30.0557,-29.3658309992956,-0.155502258641163,146.382975962173,1,0,0,"pass"
"",2,1,2,"UL",20,2,1,1,31.1906,-29.3658309992956,-0.155502258641163,146.382975962173,1,0,0,"pass"
