Occasion,AbsoluteSlot0,StartSample,EndSampleExclusive,IQFirstRow,IQRowCount,ReceiveBranches,HARQBits,SignalPresent,Detected,FalseACKBits,DetectionMetric,DetectionThreshold,DetectionThresholdSource,NoiseStreamSeed,InjectedSampleNoiseVariance,ConfiguredReferenceEsN0_dB,RFAppliedStageCount,TimingSource,Source,ReceiverImplementation,ReceptionAssignmentDigest,ReceiverContextDigest,IQSHA256
1,4,30720,38400,1,7680,2,1,0,0,0,0.279982816466365,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,5b4adbbd46890bcae08fb1ada8fe286404d023d6b75b4124dd48d5ab7fce11d5,d06459962ab7a61c2028b4b0f9376c43cd38d4a318db8de45ae64d916f81668c,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
1,4,30720,38400,1,7680,2,2,0,0,0,0.279982816466365,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,aa24bb18c226d511dcb6d999ebe03cacfc4ac62592e40ef4c7473f1256d0d6c0,7826cc577ece6bfe9517612eeb95d9a138713a4f5efdf1b7a519f73f83e493f5,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
2,9,69120,76800,7681,7680,2,1,0,0,0,0.32241781879108,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,657181228f836ba1c31a3b13f3ff5e3093a2246342d0736b1c07f7d6899d7381,a3880c5a1c627734f183ecd29a3787da340fb1d71e925739b090a2fac16af42e,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
2,9,69120,76800,7681,7680,2,2,0,0,0,0.32241781879108,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,a42cbd4238b8c76ac063e70fb1b607718fd81138436c2374912686850afcb5eb,314bbc8786407c4b698ee1654f231f1bc56e7c1f453e8ac77d420e84bb73ebf9,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
3,14,107520,115200,15361,7680,2,1,0,1,0,0.430684842312548,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,2ed4fc6d7e73bc97e11d77973ab8047c2e3f0c1d51f9927411162cc1dec70c31,04c134b786c4ce4cae787e81955ea8391d896165c6e1f3c228c98a0cc52a6c0b,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
3,14,107520,115200,15361,7680,2,2,0,1,0,0.430684842312548,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,4d300e3e080e2347e524a91c407671247903377143f3fcc8b4026ef3e9098b52,5c586d74aeca9a4095615adafc72f1e0a3d4fc018e3485f6cb517bcefa46782f,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
4,19,145920,153600,23041,7680,2,1,0,0,0,0.286624869788338,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,69ef249ff642f97c071765bb9ec7b7f5d8f0292749f4c9a705dfa6cedadc5725,38ce0e7813af0fb669ed4862cae6ae71aed7dffcd57cb482462abad305545b89,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
4,19,145920,153600,23041,7680,2,2,0,0,0,0.286624869788338,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,8139d338d73eb455a0cbd0f7f25b99b34ecc795ff93e8c24eaf8a69a223d45a6,ce4b399ab1621e7422e24676fcfd789be2052bc018f9f0072c36801e6547ec1d,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
5,24,184320,192000,30721,7680,2,1,0,0,0,0.27332186133904,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,73c3084057305f5740b3cba578abffd9855654945ccb013811de22c40819ad4e,bf89f549c7af06d15109a9fc9f601cda8e2aeba57904d30e04950ce7436dd990,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
5,24,184320,192000,30721,7680,2,2,0,0,0,0.308038022472114,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,canonical_pucch_receiver,fa6abeb2a9bd0cdd52005b03560436bb170ad6dac2d9e7601aa3a7cfa1cfa5d5,f019e60b4812f9020a7cec2355a0887e80eaa7c4e7f13a7d1c8de07122108267,876c50c7a34c874e77a1a12a1236badf6fe7c308ab7f4359fc80f2bc7f11bbd3
