RunID,Mode,RadioProfile,ScenarioID,ResolvedConfigSHA256,SourceCommit,MatlabVersion,ToolboxVersion,Status
master_sinr_sweep-d17d719c8a3d,FIXED_SNR_SWEEP,nr_rel18_system_lls_strict,master_sinr_sweep,d17d719c8a3d9222d96adb974160367bd404dcf832388bc122328a1b928fa95b,1704e9320ab3b7a6261ce0150bb46b31258da3f1,26.1.0.3312084 (R2026a) Update 4,26.1,PASS
master_geometry_based-6e9abbcae95a,GEOMETRY_NETWORK,nr_rel18_system_lls_strict,master_geometry_based,6e9abbcae95a255c56f477e2468819586defbfe74a1b1a2918fec371080096ac,1704e9320ab3b7a6261ce0150bb46b31258da3f1,26.1.0.3312084 (R2026a) Update 4,26.1,PASS
