ComparisonID,FixedWaveformSHA256,GeometryWaveformSHA256,ExpectedEqual,Equal,Status
UL_AWGN_-5_47,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,1,1,PASS
UL_AWGN_-5_89,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,1,1,PASS
UL_AWGN_0_11,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,1,1,PASS
UL_AWGN_0_23,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,1,1,PASS
UL_AWGN_0_47,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,1,1,PASS
UL_AWGN_0_89,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,1,1,PASS
UL_AWGN_5_11,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,1,1,PASS
UL_AWGN_5_23,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,1,1,PASS
UL_AWGN_5_47,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,1,1,PASS
UL_AWGN_5_89,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,1,1,PASS
UL_AWGN_10_11,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,1,1,PASS
UL_AWGN_10_23,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,1,1,PASS
UL_AWGN_10_47,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,1,1,PASS
UL_AWGN_10_89,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,1,1,PASS
UL_TDL-C_-5_11,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,1,1,PASS
UL_TDL-C_-5_23,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,1,1,PASS
UL_TDL-C_-5_47,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,1,1,PASS
UL_TDL-C_-5_89,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,1,1,PASS
UL_TDL-C_0_11,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,1,1,PASS
UL_TDL-C_0_23,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,1,1,PASS
UL_TDL-C_0_47,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,1,1,PASS
UL_TDL-C_0_89,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,1,1,PASS
UL_TDL-C_5_11,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,1,1,PASS
UL_TDL-C_5_23,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,1,1,PASS
UL_TDL-C_5_47,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,1,1,PASS
UL_TDL-C_5_89,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,1,1,PASS
UL_TDL-C_10_11,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,9ab597412773da823b1afccaa6e4404fa59c161a2bbfd134a9356998845ebdd3,1,1,PASS
UL_TDL-C_10_23,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,6e5b131179f1e6335c21011b48e455d997eefa83a2d664b1826ad8c8782d344f,1,1,PASS
UL_TDL-C_10_47,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,ec78e93d73dc4fd8112b9493644bf1cd4d3ddc8838e2d333ab25033a73eb55be,1,1,PASS
UL_TDL-C_10_89,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,be198d08a2577e690cdab4d163fedd133c4714d22e13f73d923ff034329d7bcf,1,1,PASS
