ComparisonID,Direction,Channel,SNR_dB,Seed,BitsEqual,DecodeEqual,MeasuredSINRError_dB,Status
DL_AWGN_-5_11,DL,AWGN,-5,11,1,1,0,PASS
DL_AWGN_-5_23,DL,AWGN,-5,23,1,1,0,PASS
DL_AWGN_-5_47,DL,AWGN,-5,47,1,1,0,PASS
DL_AWGN_-5_89,DL,AWGN,-5,89,1,1,0,PASS
DL_AWGN_0_11,DL,AWGN,0,11,1,1,0,PASS
DL_AWGN_0_23,DL,AWGN,0,23,1,1,0,PASS
DL_AWGN_0_47,DL,AWGN,0,47,1,1,0,PASS
DL_AWGN_0_89,DL,AWGN,0,89,1,1,0,PASS
DL_AWGN_5_11,DL,AWGN,5,11,1,1,0,PASS
DL_AWGN_5_23,DL,AWGN,5,23,1,1,0,PASS
DL_AWGN_5_47,DL,AWGN,5,47,1,1,0,PASS
DL_AWGN_5_89,DL,AWGN,5,89,1,1,0,PASS
DL_AWGN_10_11,DL,AWGN,10,11,1,1,0,PASS
DL_AWGN_10_23,DL,AWGN,10,23,1,1,0,PASS
DL_AWGN_10_47,DL,AWGN,10,47,1,1,0,PASS
DL_AWGN_10_89,DL,AWGN,10,89,1,1,0,PASS
DL_TDL-C_-5_11,DL,TDL-C,-5,11,1,1,0,PASS
DL_TDL-C_-5_23,DL,TDL-C,-5,23,1,1,0,PASS
DL_TDL-C_-5_47,DL,TDL-C,-5,47,1,1,0,PASS
DL_TDL-C_-5_89,DL,TDL-C,-5,89,1,1,0,PASS
DL_TDL-C_0_11,DL,TDL-C,0,11,1,1,0,PASS
DL_TDL-C_0_23,DL,TDL-C,0,23,1,1,0,PASS
DL_TDL-C_0_47,DL,TDL-C,0,47,1,1,0,PASS
DL_TDL-C_0_89,DL,TDL-C,0,89,1,1,0,PASS
DL_TDL-C_5_11,DL,TDL-C,5,11,1,1,0,PASS
DL_TDL-C_5_23,DL,TDL-C,5,23,1,1,0,PASS
DL_TDL-C_5_47,DL,TDL-C,5,47,1,1,0,PASS
DL_TDL-C_5_89,DL,TDL-C,5,89,1,1,0,PASS
DL_TDL-C_10_11,DL,TDL-C,10,11,1,1,0,PASS
DL_TDL-C_10_23,DL,TDL-C,10,23,1,1,0,PASS
DL_TDL-C_10_47,DL,TDL-C,10,47,1,1,0,PASS
DL_TDL-C_10_89,DL,TDL-C,10,89,1,1,0,PASS
UL_AWGN_-5_11,UL,AWGN,-5,11,1,1,0,PASS
UL_AWGN_-5_23,UL,AWGN,-5,23,1,1,0,PASS
UL_AWGN_-5_47,UL,AWGN,-5,47,1,1,0,PASS
UL_AWGN_-5_89,UL,AWGN,-5,89,1,1,0,PASS
UL_AWGN_0_11,UL,AWGN,0,11,1,1,0,PASS
UL_AWGN_0_23,UL,AWGN,0,23,1,1,0,PASS
UL_AWGN_0_47,UL,AWGN,0,47,1,1,0,PASS
UL_AWGN_0_89,UL,AWGN,0,89,1,1,0,PASS
UL_AWGN_5_11,UL,AWGN,5,11,1,1,0,PASS
UL_AWGN_5_23,UL,AWGN,5,23,1,1,0,PASS
UL_AWGN_5_47,UL,AWGN,5,47,1,1,0,PASS
UL_AWGN_5_89,UL,AWGN,5,89,1,1,0,PASS
UL_AWGN_10_11,UL,AWGN,10,11,1,1,0,PASS
UL_AWGN_10_23,UL,AWGN,10,23,1,1,0,PASS
UL_AWGN_10_47,UL,AWGN,10,47,1,1,0,PASS
UL_AWGN_10_89,UL,AWGN,10,89,1,1,0,PASS
UL_TDL-C_-5_11,UL,TDL-C,-5,11,1,1,0,PASS
UL_TDL-C_-5_23,UL,TDL-C,-5,23,1,1,0,PASS
UL_TDL-C_-5_47,UL,TDL-C,-5,47,1,1,0,PASS
UL_TDL-C_-5_89,UL,TDL-C,-5,89,1,1,0,PASS
UL_TDL-C_0_11,UL,TDL-C,0,11,1,1,0,PASS
UL_TDL-C_0_23,UL,TDL-C,0,23,1,1,0,PASS
UL_TDL-C_0_47,UL,TDL-C,0,47,1,1,0,PASS
UL_TDL-C_0_89,UL,TDL-C,0,89,1,1,0,PASS
UL_TDL-C_5_11,UL,TDL-C,5,11,1,1,0,PASS
UL_TDL-C_5_23,UL,TDL-C,5,23,1,1,0,PASS
UL_TDL-C_5_47,UL,TDL-C,5,47,1,1,0,PASS
UL_TDL-C_5_89,UL,TDL-C,5,89,1,1,0,PASS
UL_TDL-C_10_11,UL,TDL-C,10,11,1,1,0,PASS
UL_TDL-C_10_23,UL,TDL-C,10,23,1,1,0,PASS
UL_TDL-C_10_47,UL,TDL-C,10,47,1,1,0,PASS
UL_TDL-C_10_89,UL,TDL-C,10,89,1,1,0,PASS
