AbsoluteSlot0,BudgetPRBs,SymbolStart,NumSymbols,TDRAIndex,GrantCount,Verified,ErrorID,ErrorDetail,EvidenceScope
3,25,2,8,1,1,1,,,baseline_scheduler_grants_with_declared_ue_inputs_not_access_or_received_phy
8,25,2,8,1,1,1,,,baseline_scheduler_grants_with_declared_ue_inputs_not_access_or_received_phy
