relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__error-reliability-analytics__ber-vs-snr.png,.png,41106,516fe9baa875823efb3c6b26b6e87911554b60abd4f25f9a6426f1adc658c066,True,PNG,1280,720,RGBA,23,255,23.597828905373312,False,
analytics/image/contract__error-reliability-analytics__ber.png,.png,46233,c08648562e08c0436d809f4e32f9cdbd8ea37168d917d6e62da152bb47d0063e,True,PNG,1280,720,RGBA,23,255,43.067451919541504,False,
analytics/image/contract__error-reliability-analytics__bler-vs-mcs.png,.png,30896,c9b4e705609eded710e9d811252b721b9b578eb8ceac89760780c7371c05d47c,True,PNG,1280,720,RGBA,23,255,22.462623642153716,False,
analytics/image/contract__error-reliability-analytics__bler-vs-sinr.png,.png,37278,cbccbdc18ccaf02514c67e2e4a7571ea3bb5bda417c0f97f8158127dbc574d5c,True,PNG,1280,720,RGBA,23,255,23.402511604872831,False,
analytics/image/contract__error-reliability-analytics__bler-vs-snr.png,.png,41468,aa1965a2b2f6f4bd7cd146b4114f16e9288031714660b84692cbefc9c0000dea,True,PNG,1280,720,RGBA,23,255,23.759968150536512,False,
analytics/image/contract__error-reliability-analytics__bler.png,.png,44541,3171e3e6765085252178c441184d95a61a7820902a741fd7a1153df6ff2fcd0d,True,PNG,1280,720,RGBA,23,255,43.085929250539316,False,
analytics/image/contract__error-reliability-analytics__cbg-error-rates.png,.png,31936,b93c0fe8a041eec603ab0a6dd1ce5ddb8c73bb8c16ac084ccc664558fbcf02e3,True,PNG,1280,720,RGBA,23,255,59.37564148406782,False,
analytics/image/contract__error-reliability-analytics__code-block-error-rates.png,.png,33571,8ebde9d566aa618b8e63fc79f3920aaccf73634956636a18cebf347733b9f90b,True,PNG,1280,720,RGBA,23,255,59.694775180278768,False,
analytics/image/contract__error-reliability-analytics__crc-pass-fail-rates.png,.png,42419,3c68288b77d77d2ea2ae89863477ae8228bca0cd3a3383ada1ed17dc8d20614d,True,PNG,1280,720,RGBA,23,255,49.935581392157651,False,
analytics/image/contract__error-reliability-analytics__decoder-iteration-distributions.png,.png,32447,50f39c5537ae16051852ea11f2a5ce28f0ca9deae6259131ad0092b1bfa38e85,True,PNG,1280,720,RGBA,23,255,50.183002765766794,False,
analytics/image/contract__error-reliability-analytics__fer-vs-snr.png,.png,36715,51d3a024f403c7ad5eee64fbbca1e595fdd6e0a6e84471f6b985510cb1769fa8,True,PNG,1280,720,RGBA,23,255,23.013666868752377,False,
analytics/image/contract__error-reliability-analytics__fer.png,.png,48446,1c1c3a51fa38a54602c533d50cde8918efee43c3059a7956df88a3adab2c4fe6,True,PNG,1280,720,RGBA,23,255,43.15579936260886,False,
analytics/image/contract__error-reliability-analytics__per-channel-reliability-breakdown.png,.png,45254,772eac79376704d4813602a0abde613ad3f5ad104c1c439a0b7bf218c7ae5abc,True,PNG,1280,720,RGBA,23,255,63.092271093869435,False,
analytics/image/contract__error-reliability-analytics__per-format-reliability-breakdown.png,.png,35391,6db416bad04b27e20a331827f4672a0e56a89000526559b292546d251a22a242,True,PNG,1280,720,RGBA,23,255,60.155491478239846,False,
