lineage_path,row_index,plot_id,image_path,status,reason
channel/csv/channel_rf_plot_lineage.csv,1,channel_configured_vs_applied,channel/image/channel_configured_vs_applied.png,not_rendered,removed_by_csv_authority_raster_replacement
channel/csv/channel_rf_plot_lineage.csv,2,rf_impairment_chain,reports/image/rf_impairment_chain.png,not_rendered,removed_by_csv_authority_raster_replacement
component_anchors/protocol/protocol_stack/csv/protocol_configured_plot_lineage.csv,1,protocol_configured_packets_by_direction,protocol_stack/image/protocol_configured_packets_by_direction.png,not_rendered,removed_by_csv_authority_raster_replacement
component_anchors/protocol/protocol_stack/csv/protocol_configured_plot_lineage.csv,2,protocol_configured_events_by_layer,protocol_stack/image/protocol_configured_events_by_layer.png,not_rendered,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,1,nmse_vs_measured_sinr,reports/image/nmse_vs_measured_sinr.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,2,bler_vs_snr,reports/image/bler_vs_snr.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,3,throughput_vs_snr,reports/image/throughput_vs_snr.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,4,bler_vs_sinr,reports/image/bler_vs_sinr.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,5,ber_vs_sinr,reports/image/ber_vs_sinr.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,6,bler_vs_measured_posteq_sinr_bins_diagnostic,reports/image/bler_vs_measured_posteq_sinr_bins_diagnostic.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,7,ber_vs_bler,reports/image/ber_vs_bler.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,8,ber_vs_ecno,reports/image/ber_vs_ecno.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,9,bler_vs_ecno,reports/image/bler_vs_ecno.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,10,control_pass_rates,reports/image/control_pass_rates.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,11,metric_coverage_by_category,reports/image/metric_coverage_by_category.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,12,gains_losses_waterfall,reports/image/gains_losses_waterfall.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,13,papr_ccdf,reports/image/papr_ccdf.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,14,latency_cdf,reports/image/latency_cdf.png,suppressed,removed_by_csv_authority_raster_replacement
reports/csv/plot_manifest.csv,15,energy_vs_throughput,reports/image/energy_vs_throughput.png,suppressed,removed_by_csv_authority_raster_replacement
