CaseID,BWPID,PRB,Subcarrier,FFTBin,IsDC,Owner,Status
MAP-300-512,BWP-1,2,-110,402,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,2,-109,403,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,2,-108,404,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,2,-107,405,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,2,-106,406,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,2,-105,407,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,2,-104,408,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,2,-103,409,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-102,410,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-101,411,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-100,412,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-99,413,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-98,414,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-97,415,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-96,416,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-95,417,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-94,418,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-93,419,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-92,420,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,3,-91,421,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-90,422,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-89,423,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-88,424,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-87,425,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-86,426,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-85,427,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-84,428,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-83,429,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-82,430,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-81,431,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-80,432,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,4,-79,433,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-78,434,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-77,435,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-76,436,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-75,437,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-74,438,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-73,439,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-72,440,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-71,441,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-70,442,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-69,443,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-68,444,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,5,-67,445,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-66,446,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-65,447,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-64,448,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-63,449,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-62,450,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-61,451,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-60,452,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-59,453,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-58,454,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-57,455,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-56,456,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,6,-55,457,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-54,458,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-53,459,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,7,-52,460,0,PDSCH_PORT_0,PASS
