CaseID,Nfft,Symbols,Ports,Carriers,Duration_s,PeakMemory_MB,Status
RUNTIME-1,64,1,1,1,0.0017031,0.00146484375,PASS
RUNTIME-2,128,2,2,1,0.0155883,0.01025390625,PASS
RUNTIME-3,256,3,1,1,0.0038772,0.0142822265625,PASS
RUNTIME-4,512,4,2,1,0.0030199,0.0732421875,PASS
RUNTIME-5,64,5,1,1,0.0023368,0.00732421875,PASS
RUNTIME-6,128,1,2,1,0.0036729,0.005126953125,PASS
RUNTIME-7,256,2,1,1,0.0012774,0.009521484375,PASS
RUNTIME-8,512,3,2,1,0.0024775,0.054931640625,PASS
RUNTIME-9,64,4,1,1,0.0011863,0.005859375,PASS
RUNTIME-10,128,5,2,1,0.0023479,0.025634765625,PASS
