CaseID,Impairment,Value,Residual,EVM_pct,BLER,Status
SYNC-1,CFO,0,2.19556013660145e-32,1.48174226389121e-14,0,PASS
SYNC-2,CFO,300,0.0232735953489701,15.2556859396653,0,PASS
SYNC-3,CFO,600,0.092156525707173,30.35729330938,0,PASS
SYNC-4,CFO,900,0.203879022094248,45.1529646971544,0,PASS
SYNC-5,CFO,1200,0.353971376847417,59.4954936820779,1,PASS
SYNC-6,CFO,1500,0.536476783114946,73.2445754383862,1,PASS
SYNC-7,CFO,1800,0.744233518560923,86.2689700043372,1,PASS
SYNC-8,CFO,2100,0.969211740487967,98.4485520710166,1,PASS
SYNC-9,CFO,2400,1.20288740292618,109.67622362783,1,PASS
SYNC-10,CFO,2700,1.43663402066707,119.859668807613,1,PASS
SYNC-11,TIMING,0,2.19556013660145e-32,1.48174226389121e-14,0,PASS
SYNC-12,TIMING,1,0.431888341818276,65.718212226009,1,PASS
SYNC-13,TIMING,2,1.40027128367285,118.333058934215,1,PASS
SYNC-14,TIMING,3,2.21616302987924,148.86782828668,1,PASS
SYNC-15,TIMING,4,2.42304876615037,155.661452073093,1,PASS
SYNC-16,TIMING,5,2.12927980417633,145.920519604898,1,PASS
SYNC-17,TIMING,6,1.80137805371186,134.215425853806,1,PASS
SYNC-18,TIMING,7,1.77814796077145,133.347214473023,1,PASS
SYNC-19,TIMING,8,2,141.42135623731,1,PASS
SYNC-20,TIMING,9,2.17142593288626,147.357589994077,1,PASS
