Family,VectorID,ExpectedDigest,ActualDigest,MismatchCount,OracleType,Status
small_fft,FFT-0001,dc874a52891872a7468db60588fd675a3c2cde1699dd00bc4cf93fbc7c9a9b1e,f2537288a7dd1f5bdbf426c44d4c95a590efffc9c33f236fc00f0bf60fbfe5f7,0,independent_unitary_ifft,PASS
small_fft,FFT-0002,5abac4cf5ea3483bd4eeec7196c45172ca68dd76eb553404b02ec1d2135f4759,e26629c81cf33fd21fdd3dc7299b3334c1e97b21861aff53500263b7ecf03fde,0,independent_unitary_ifft,PASS
small_fft,FFT-0003,3157908504871d197e4743a647585aff100def2d19b615fe2995ad98b156a4ae,56aa604659a026496864ef3b0fc355136144d55e80313a5e7c077406b0be7fe1,0,independent_unitary_ifft,PASS
small_fft,FFT-0004,49281ac3c8a11f5cd8ed87b9ae1dd037f8a5beb634977c2936ea14868e02d71c,2f4adf5ce8d33eb535d4af6a8ffff8f395148e30bdacd178227becb4a72cfc2b,0,independent_unitary_ifft,PASS
small_fft,FFT-0005,bd4c85f903b52fd5961509fd9477ed11207f3b6295946819eaf1f26d906ee1cc,ecb83b1b5b58861deeb0ad56293bb3e946f596d75b1742f362beb049c4aba731,0,independent_unitary_ifft,PASS
small_fft,FFT-0006,1c8dd54b567113e6bbaa261e767d9cd996537d2d840abc00cce9f7c97429b770,d115e26d58fe55036c9a3a0d92d774372495f3f139cdef7660371e492dc2e897,0,independent_unitary_ifft,PASS
small_fft,FFT-0007,2098177f4f143213f03a3c419716bf188829d44fd92ad84c20aa04cabd1108e7,6a88110df560ae800c800148bfbc2d3bd53b79ec5be79d93d2c7d2cbe5c1aed1,0,independent_unitary_ifft,PASS
small_fft,FFT-0008,0158b2598afdcd0db9141c07c9d16f22a04ca498f5540f576d63afeecb35075c,0f0740322ab53f6a4b9c07e02e4759224a60d64eb04eab67e71f889124f5cd00,0,independent_unitary_ifft,PASS
small_fft,FFT-0009,8380a8806d82ba0f73ab3d849f0100fb85a6b5525dce2563d1e52a4411d56656,8b234218be72bcf36acd3e3c00ae2d7da351ae732b657969529ed75e5adc9b46,0,independent_unitary_ifft,PASS
small_fft,FFT-0010,1e5e2e7569d931e27f19570f0da2d38b4a1634ec7adb3c2e27d649e67d0f3539,3302b1118fce4c8f7164edce2809a93752a35adcc2d0c5a9c3be06c8805711c1,0,independent_unitary_ifft,PASS
