TrialID,ChannelProfile,Speed_kmh,DelaySpread_s,Doppler_Hz,EVM_pct,BLER,Status
1,TDL-C,1.62,3e-07,6,3979.65732399434,1,PASS
2,TDL-C,1.89,3e-07,7,12502.998530799,1,PASS
3,TDL-C,2.16,3e-07,8,1785.43653551099,1,PASS
4,TDL-C,2.43,3e-07,9,1717.93045013707,1,PASS
5,TDL-C,2.7,3e-07,10,4877.34621148819,1,PASS
6,TDL-C,2.97,3e-07,11,1906.67939851336,1,PASS
7,TDL-C,3.24,3e-07,12,3028.14235026394,1,PASS
8,TDL-C,3.51,3e-07,13,4659.0876324324,1,PASS
9,TDL-C,3.78,3e-07,14,2034.52367720545,1,PASS
10,TDL-C,4.05,3e-07,15,2857.29746455558,1,PASS
11,CDL-D,1.62,1e-07,6,1146.20927442134,1,PASS
12,CDL-D,1.89,1e-07,7,1870.06968634004,1,PASS
13,CDL-D,2.16,1e-07,8,1208.73393038886,1,PASS
14,CDL-D,2.43,1e-07,9,3466.81419019035,1,PASS
15,CDL-D,2.7,1e-07,10,2399.55949891957,1,PASS
16,CDL-D,2.97,1e-07,11,4606.03277146246,1,PASS
17,CDL-D,3.24,1e-07,12,3297.49584242438,1,PASS
18,CDL-D,3.51,1e-07,13,2182.97480794754,1,PASS
19,CDL-D,3.78,1e-07,14,1502.3226244932,1,PASS
20,CDL-D,4.05,1e-07,15,4133.75022296409,1,PASS
