CaseID,Nfft,CP,Windowing,NMSE,EVM_pct,BitErrors,Status
ROUNDTRIP-1,64,8,0,1.69481835106077e-32,1.30185189290517e-14,0,PASS
ROUNDTRIP-2,128,16,0,1.994407453521e-32,1.41223491442501e-14,0,PASS
ROUNDTRIP-3,256,32,0,2.0928438729008e-32,1.44666646912853e-14,0,PASS
ROUNDTRIP-4,512,64,0,6.84775091337684e-33,8.27511384415758e-15,0,PASS
ROUNDTRIP-5,64,8,0,2.58502596979976e-32,1.60780159528462e-14,0,PASS
ROUNDTRIP-6,128,16,0,4.21136681172676e-32,2.05216149747693e-14,0,PASS
ROUNDTRIP-7,256,32,0,1.09564014614029e-32,1.04672830578918e-14,0,PASS
ROUNDTRIP-8,512,64,0,7.70371977754894e-33,8.77708367144175e-15,0,PASS
ROUNDTRIP-9,64,8,0,3.4153157680467e-32,1.84805729566123e-14,0,PASS
ROUNDTRIP-10,128,16,0,2.25975780141436e-32,1.50324908162764e-14,0,PASS
ROUNDTRIP-11,256,32,0,1.43802769180914e-32,1.19917792333295e-14,0,PASS
ROUNDTRIP-12,512,64,0,1.42518815884655e-32,1.19381244709818e-14,0,PASS
ROUNDTRIP-13,64,8,0,1.47226644637602e-32,1.21336987204068e-14,0,PASS
ROUNDTRIP-14,128,16,0,2.70486161078385e-32,1.64464634824142e-14,0,PASS
ROUNDTRIP-15,256,32,0,2.14420200475112e-32,1.46430939515907e-14,0,PASS
ROUNDTRIP-16,512,64,0,5.30700695786705e-33,7.28492069817308e-15,0,PASS
ROUNDTRIP-17,64,8,0,1.94304932167068e-32,1.39393304059796e-14,0,PASS
ROUNDTRIP-18,128,16,0,3.14568557583249e-32,1.77360806714237e-14,0,PASS
ROUNDTRIP-19,256,32,0,8.90207618738989e-33,9.43508144500613e-15,0,PASS
ROUNDTRIP-20,512,64,0,8.81647930097268e-33,9.38961090832452e-15,0,PASS
