CaseID,SCS_kHz,CyclicPrefix,NSizeGrid,Nfft,SampleRate_Hz,SymbolsPerSlot,Status,ActualOutcome,ActualError
OFDM-0001,15,normal,6,128,1920000,14,PASS,EXECUTE,
OFDM-0002,15,normal,25,512,7680000,14,PASS,EXECUTE,
OFDM-0003,15,normal,52,1024,15360000,14,PASS,EXECUTE,
OFDM-0004,15,normal,106,2048,30720000,14,PASS,EXECUTE,
OFDM-0005,15,normal,273,4096,61440000,14,PASS,EXECUTE,
OFDM-0006,15,extended,6,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0007,15,extended,25,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0008,15,extended,52,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0009,15,extended,106,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0010,15,extended,273,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0011,30,normal,6,128,3840000,14,PASS,EXECUTE,
OFDM-0012,30,normal,25,512,15360000,14,PASS,EXECUTE,
OFDM-0013,30,normal,52,1024,30720000,14,PASS,EXECUTE,
OFDM-0014,30,normal,106,2048,61440000,14,PASS,EXECUTE,
OFDM-0015,30,normal,273,4096,122880000,14,PASS,EXECUTE,
OFDM-0016,30,extended,6,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0017,30,extended,25,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0018,30,extended,52,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0019,30,extended,106,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0020,30,extended,273,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0021,60,normal,6,128,7680000,14,PASS,EXECUTE,
OFDM-0022,60,normal,25,512,30720000,14,PASS,EXECUTE,
OFDM-0023,60,normal,52,1024,61440000,14,PASS,EXECUTE,
OFDM-0024,60,normal,106,2048,122880000,14,PASS,EXECUTE,
OFDM-0025,60,normal,273,4096,245760000,14,PASS,EXECUTE,
OFDM-0026,60,extended,6,128,7680000,12,PASS,EXECUTE,
OFDM-0027,60,extended,25,512,30720000,12,PASS,EXECUTE,
OFDM-0028,60,extended,52,1024,61440000,12,PASS,EXECUTE,
OFDM-0029,60,extended,106,2048,122880000,12,PASS,EXECUTE,
OFDM-0030,60,extended,273,4096,245760000,12,PASS,EXECUTE,
OFDM-0031,120,normal,6,128,15360000,14,PASS,EXECUTE,
OFDM-0032,120,normal,25,512,61440000,14,PASS,EXECUTE,
OFDM-0033,120,normal,52,1024,122880000,14,PASS,EXECUTE,
OFDM-0034,120,normal,106,2048,245760000,14,PASS,EXECUTE,
OFDM-0035,120,normal,273,4096,491520000,14,PASS,EXECUTE,
OFDM-0036,120,extended,6,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0037,120,extended,25,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0038,120,extended,52,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0039,120,extended,106,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0040,120,extended,273,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0041,240,normal,6,128,30720000,14,PASS,EXECUTE,
OFDM-0042,240,normal,25,512,122880000,14,PASS,EXECUTE,
OFDM-0043,240,normal,52,1024,245760000,14,PASS,EXECUTE,
OFDM-0044,240,normal,106,2048,491520000,14,PASS,EXECUTE,
OFDM-0045,240,normal,273,4096,983040000,14,PASS,EXECUTE,
OFDM-0046,240,extended,6,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0047,240,extended,25,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0048,240,extended,52,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0049,240,extended,106,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0050,240,extended,273,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0051,480,normal,6,128,61440000,14,PASS,EXECUTE,
OFDM-0052,480,normal,25,512,245760000,14,PASS,EXECUTE,
OFDM-0053,480,normal,52,1024,491520000,14,PASS,EXECUTE,
OFDM-0054,480,normal,106,2048,983040000,14,PASS,EXECUTE,
OFDM-0055,480,normal,273,4096,1966080000,14,PASS,EXECUTE,
OFDM-0056,480,extended,6,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0057,480,extended,25,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0058,480,extended,52,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0059,480,extended,106,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0060,480,extended,273,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0061,960,normal,6,128,122880000,14,PASS,EXECUTE,
OFDM-0062,960,normal,25,512,491520000,14,PASS,EXECUTE,
OFDM-0063,960,normal,52,1024,983040000,14,PASS,EXECUTE,
OFDM-0064,960,normal,106,2048,1966080000,14,PASS,EXECUTE,
OFDM-0065,960,normal,273,4096,3932160000,14,PASS,EXECUTE,
OFDM-0066,960,extended,6,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0067,960,extended,25,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0068,960,extended,52,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0069,960,extended,106,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
OFDM-0070,960,extended,273,NaN,NaN,NaN,PASS,REJECT,WAVEFORM:InvalidOFDMParameters
