PointID,SNR_dB,TBs,Errors,BLER,LowerCI,UpperCI,MeasuredSINR_dB,Status
AWGN-1,-4,20,20,1,0.838874841947181,1,-3.91642741096704,PASS
AWGN-2,-2,20,20,1,0.838874841947181,1,-2.05203450027048,PASS
AWGN-3,0,20,20,1,0.838874841947181,1,0.107581631650989,PASS
AWGN-4,2,20,16,0.8,0.583982567748106,0.919342337420202,1.9735017433241,PASS
AWGN-5,4,20,7,0.35,0.181191824101082,0.567145723314764,3.9749053659927,PASS
AWGN-6,6,20,0,0,0,0.161125158052819,6.01356200332488,PASS
AWGN-7,8,20,0,0,0,0.161125158052819,7.90926880324691,PASS
AWGN-8,10,20,0,0,0,0.161125158052819,9.97495376849666,PASS
AWGN-9,12,20,0,0,0,0.161125158052819,11.8680135830469,PASS
AWGN-10,14,20,0,0,0,0.161125158052819,13.848924524981,PASS
