VectorID,Chunking,SampleCountExpected,SampleCountActual,BoundaryJump,NMSE,Status
STREAM-7680000-0-4096,4096,4096,4096,0,0,PASS
STREAM-7680000-0-1024|1024|2048,1024|1024|2048,4096,4096,0,0,PASS
STREAM-7680000-0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,0,0,PASS
STREAM-7680000-0-511|512|513|2560,511|512|513|2560,4096,4096,0,0,PASS
STREAM-7680000-1000.0-4096,4096,4096,4096,0,0,PASS
STREAM-7680000-1000.0-1024|1024|2048,1024|1024|2048,4096,4096,9.55049957678547e-16,5.29338741909746e-32,PASS
STREAM-7680000-1000.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,6.20633538311818e-16,4.3876972336533e-32,PASS
STREAM-7680000-1000.0-511|512|513|2560,511|512|513|2560,4096,4096,6.20633538311818e-16,4.39398025095845e-32,PASS
STREAM-7680000-15000.0-4096,4096,4096,4096,0,0,PASS
STREAM-7680000-15000.0-1024|1024|2048,1024|1024|2048,4096,4096,8.18860042643345e-15,4.9272990462934e-30,PASS
STREAM-7680000-15000.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,7.52744310558559e-15,9.83162919892732e-30,PASS
STREAM-7680000-15000.0-511|512|513|2560,511|512|513|2560,4096,4096,7.95961000618513e-15,4.65700355219461e-30,PASS
STREAM-7680000--22500.0-4096,4096,4096,4096,0,0,PASS
STREAM-7680000--22500.0-1024|1024|2048,1024|1024|2048,4096,4096,1.57921176418692e-14,1.17294807173401e-29,PASS
STREAM-7680000--22500.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,2.11570322928953e-14,2.14059707682191e-29,PASS
STREAM-7680000--22500.0-511|512|513|2560,511|512|513|2560,4096,4096,1.52557732987708e-14,1.35874444533714e-29,PASS
STREAM-15360000-0-4096,4096,4096,4096,0,0,PASS
STREAM-15360000-0-1024|1024|2048,1024|1024|2048,4096,4096,0,0,PASS
STREAM-15360000-0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,0,0,PASS
STREAM-15360000-0-511|512|513|2560,511|512|513|2560,4096,4096,0,0,PASS
STREAM-15360000-1000.0-4096,4096,4096,4096,0,0,PASS
STREAM-15360000-1000.0-1024|1024|2048,1024|1024|2048,4096,4096,7.10889595793335e-16,8.17390341194565e-32,PASS
STREAM-15360000-1000.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,5.66104886700368e-16,5.45200216157849e-32,PASS
STREAM-15360000-1000.0-511|512|513|2560,511|512|513|2560,4096,4096,4.00296604248672e-16,1.32744462808133e-32,PASS
STREAM-15360000-15000.0-4096,4096,4096,4096,0,0,PASS
STREAM-15360000-15000.0-1024|1024|2048,1024|1024|2048,4096,4096,4.22030806052036e-15,1.23852075208446e-30,PASS
STREAM-15360000-15000.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,3.84752750796379e-15,2.58907670406764e-30,PASS
STREAM-15360000-15000.0-511|512|513|2560,511|512|513|2560,4096,4096,4.13176028189541e-15,1.22331574147278e-30,PASS
STREAM-15360000--22500.0-4096,4096,4096,4096,0,0,PASS
STREAM-15360000--22500.0-1024|1024|2048,1024|1024|2048,4096,4096,7.83022125904221e-15,2.99124299977757e-30,PASS
STREAM-15360000--22500.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,7.28360459361387e-15,5.40520031244329e-30,PASS
STREAM-15360000--22500.0-511|512|513|2560,511|512|513|2560,4096,4096,1.10968165891058e-14,3.23437876008343e-30,PASS
STREAM-30720000-0-4096,4096,4096,4096,0,0,PASS
STREAM-30720000-0-1024|1024|2048,1024|1024|2048,4096,4096,0,0,PASS
STREAM-30720000-0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,0,0,PASS
STREAM-30720000-0-511|512|513|2560,511|512|513|2560,4096,4096,0,0,PASS
STREAM-30720000-1000.0-4096,4096,4096,4096,0,0,PASS
STREAM-30720000-1000.0-1024|1024|2048,1024|1024|2048,4096,4096,5.66104886700368e-16,5.03380535259407e-32,PASS
STREAM-30720000-1000.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,4.04127281044027e-16,2.54262454980814e-32,PASS
STREAM-30720000-1000.0-511|512|513|2560,511|512|513|2560,4096,4096,3.55444797896667e-16,8.84893339389405e-33,PASS
STREAM-30720000-15000.0-4096,4096,4096,4096,0,0,PASS
STREAM-30720000-15000.0-1024|1024|2048,1024|1024|2048,4096,4096,2.12107811032234e-15,3.207819501131e-31,PASS
STREAM-30720000-15000.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,3.69555874282073e-15,1.00236219727262e-30,PASS
STREAM-30720000-15000.0-511|512|513|2560,511|512|513|2560,4096,4096,2.12107811032234e-15,3.38958874929886e-31,PASS
STREAM-30720000--22500.0-4096,4096,4096,4096,0,0,PASS
STREAM-30720000--22500.0-1024|1024|2048,1024|1024|2048,4096,4096,3.83670011219805e-15,8.46453586785242e-31,PASS
STREAM-30720000--22500.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,3.73041544685902e-15,1.29571447674349e-30,PASS
STREAM-30720000--22500.0-511|512|513|2560,511|512|513|2560,4096,4096,5.57880165459373e-15,8.15044336588968e-31,PASS
STREAM-61440000-0-4096,4096,4096,4096,0,0,PASS
STREAM-61440000-0-1024|1024|2048,1024|1024|2048,4096,4096,0,0,PASS
STREAM-61440000-0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,0,0,PASS
STREAM-61440000-0-511|512|513|2560,511|512|513|2560,4096,4096,0,0,PASS
STREAM-61440000-1000.0-4096,4096,4096,4096,0,0,PASS
STREAM-61440000-1000.0-1024|1024|2048,1024|1024|2048,4096,4096,5.55111512312578e-16,5.89741754225619e-32,PASS
STREAM-61440000-1000.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,4.96506830649455e-16,8.17261169059089e-32,PASS
STREAM-61440000-1000.0-511|512|513|2560,511|512|513|2560,4096,4096,6.47365704913894e-16,1.46624888181739e-31,PASS
STREAM-61440000-15000.0-4096,4096,4096,4096,0,0,PASS
STREAM-61440000-15000.0-1024|1024|2048,1024|1024|2048,4096,4096,1.29948273372089e-15,1.02084687238792e-31,PASS
STREAM-61440000-15000.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,1.89064168386892e-15,2.53677405564938e-31,PASS
STREAM-61440000-15000.0-511|512|513|2560,511|512|513|2560,4096,4096,1.09906472107864e-15,1.2416631923163e-31,PASS
STREAM-61440000--22500.0-4096,4096,4096,4096,0,0,PASS
STREAM-61440000--22500.0-1024|1024|2048,1024|1024|2048,4096,4096,2.02063640522013e-15,1.94923943900423e-31,PASS
STREAM-61440000--22500.0-1|7|31|257|3800,1|7|31|257|3800,4096,4096,3.69555874282073e-15,4.65422670686892e-31,PASS
STREAM-61440000--22500.0-511|512|513|2560,511|512|513|2560,4096,4096,2.83976299418424e-15,2.84852729446662e-31,PASS
