CaseID,GridEnergy,UsefulSampleEnergy,ScaleFactor,RelativeError,Status
PARSEVAL-1,36,36,1,1.97372982155583e-16,PASS
PARSEVAL-2,48,48,1,1.48029736616688e-16,PASS
PARSEVAL-3,24,24,1,1.48029736616688e-16,PASS
PARSEVAL-4,36,36,1,1.97372982155583e-16,PASS
PARSEVAL-5,48,48,1,4.44089209850063e-16,PASS
PARSEVAL-6,24,24,1,1.48029736616688e-16,PASS
PARSEVAL-7,36,36,1,0,PASS
PARSEVAL-8,48,48,1,1.48029736616688e-16,PASS
PARSEVAL-9,24,24,1,1.48029736616688e-16,PASS
PARSEVAL-10,36,36,1,0,PASS
PARSEVAL-11,48,48,1,1.48029736616688e-16,PASS
PARSEVAL-12,24,24,1,1.48029736616688e-16,PASS
PARSEVAL-13,36,36,1,0,PASS
PARSEVAL-14,48,48,1,1.48029736616688e-16,PASS
PARSEVAL-15,24,24,1,0,PASS
PARSEVAL-16,36,36,1,1.97372982155583e-16,PASS
PARSEVAL-17,48,48,1,1.48029736616688e-16,PASS
PARSEVAL-18,24,24,1,1.48029736616688e-16,PASS
PARSEVAL-19,36,36,1,1.97372982155583e-16,PASS
PARSEVAL-20,48,48,1,1.48029736616688e-16,PASS
