VectorID,M,LayerCount,Contiguous,InputEnergy,OutputEnergy,RoundTripNMSE,Status
DFT-001-impulse,1,1,1,1,1,0,PASS
DFT-001-constant,1,1,1,1,1,0,PASS
DFT-001-qpsk,1,1,1,0.999999999999998,0.999999999999998,0,PASS
DFT-002-impulse,2,1,1,1,1,0,PASS
DFT-002-constant,2,1,1,0.999999999999999,0.999999999999998,0,PASS
DFT-002-qpsk,2,1,1,2,2,0,PASS
DFT-003-impulse,3,1,1,1,1,1.64346021921044e-32,PASS
DFT-003-constant,3,1,1,1,1,0,PASS
DFT-003-qpsk,3,1,1,3,3,8.21730109605222e-33,PASS
DFT-004-impulse,4,1,1,1,1,0,PASS
DFT-004-constant,4,1,1,1,1,0,PASS
DFT-004-qpsk,4,1,1,3.99999999999999,3.99999999999999,0,PASS
DFT-005-impulse,5,1,1,1,1,6.10134606381876e-32,PASS
DFT-005-constant,5,1,1,1,1,0,PASS
DFT-005-qpsk,5,1,1,4.99999999999999,4.99999999999999,2.46519032881567e-32,PASS
DFT-006-impulse,6,1,1,1,1,0,PASS
DFT-006-constant,6,1,1,1,1,1.84889274661175e-32,PASS
DFT-006-qpsk,6,1,1,5.99999999999999,5.99999999999999,8.21730109605222e-33,PASS
DFT-008-impulse,8,1,1,1,1,6.16297582203916e-33,PASS
DFT-008-constant,8,1,1,1,1,0,PASS
DFT-008-qpsk,8,1,1,7.99999999999999,7.99999999999999,1.54074395550979e-32,PASS
DFT-009-impulse,9,1,1,1,1,1.66057959649388e-32,PASS
DFT-009-constant,9,1,1,0.999999999999998,0.999999999999998,2.77333911991762e-32,PASS
DFT-009-qpsk,9,1,1,8.99999999999999,8.99999999999998,1.01346713517977e-31,PASS
DFT-010-impulse,10,1,1,1,1,1.4791141972894e-32,PASS
DFT-010-constant,10,1,1,1,1,0,PASS
DFT-010-qpsk,10,1,1,9.99999999999998,9.99999999999998,2.2186712959341e-32,PASS
