Profile,OccupiedPower_dB,GuardLeakage_dB,OOBPower_dB,SpectralIntegralPower,TimeDomainPower,Error_dB,Status
TONE-1,-0.00540486183428436,-30.4574038119925,-30.4628086738267,1,1,9.64327466553287e-16,PASS
TONE-2,-0.00540975282600411,-30.4544109624649,-30.4598207152909,1,1,0,PASS
TONE-3,-0.00541792089217378,-30.4494202937666,-30.4548382146588,1,1,0,PASS
TONE-4,-0.00542939077996816,-30.4424279177055,-30.4478573084855,1,1,9.64327466553287e-16,PASS
TONE-5,-0.0054441973916678,-30.4334283728184,-30.4388725702101,1,1,9.64327466553287e-16,PASS
TONE-6,-0.0054623860451398,-30.4224146062228,-30.4278769922679,1,1,0,PASS
TONE-7,-0.00548401281491288,-30.4093779500588,-30.4148619628737,1,1,0,PASS
TONE-8,-0.00550914495865943,-30.3943080923513,-30.3998172373099,1,1,0,PASS
TONE-9,-0.00553786143518583,-30.377193042077,-30.3827309035122,1,1,9.64327466553287e-16,PASS
TONE-10,-0.00557025352147917,-30.3580190881788,-30.3635893417003,1,1,0,PASS
