CaseID,DelaySamples,CPLength,CFO_Hz,TimingOffset,EVM_pct,ISIPower_dB,ICIPower_dB,Status
ISI-0,0,9,0,0,0,-3076.52655568589,-3076.52655568589,PASS
ISI-1,1,9,0,1,65.7677942781708,-3076.52655568589,-8.0404050057371,PASS
ISI-2,2,9,0,2,117.752095555209,-3076.52655568589,-2.98129764587961,PASS
ISI-3,3,9,0,3,147.742512844177,-3076.52655568589,-1.01056091334638,PASS
ISI-4,4,9,0,4,154.397418464344,-3076.52655568589,-0.6278698477113,PASS
ISI-5,5,9,0,5,145.009513029186,-3076.52655568589,-1.17274065821808,PASS
ISI-6,6,9,0,6,133.780694384319,-3076.52655568589,-1.872801623961,PASS
ISI-7,7,9,0,7,132.979313150078,-3076.52655568589,-1.92498883120182,PASS
ISI-8,8,9,0,8,140.822921443175,-3076.52655568589,-1.42720354552144,PASS
ISI-9,9,9,0,9,146.780327668325,-3076.52655568589,-1.06731348280386,PASS
ISI-10,10,9,0,10,145.42133053644,-42.1441993929574,-1.14845355865905,PASS
ISI-11,11,9,0,11,139.769389871598,-36.1235994796777,-1.49392450008707,PASS
ISI-12,12,9,0,12,136.583620916239,-32.6017742985641,-1.69622223907049,PASS
ISI-13,13,9,0,13,138.656989470203,-30.1029995663981,-1.56791616592627,PASS
ISI-14,14,9,0,14,142.219098214617,-28.164799306237,-1.35054669455275,PASS
ISI-15,15,9,0,15,142.696967929924,-26.5811743852845,-1.3253042128597,PASS
ISI-16,16,9,0,16,140.03322785865,-25.2422385926722,-1.49433288257241,PASS
ISI-17,17,9,0,17,138.010887332245,-24.0823996531185,-1.62700806602801,PASS
ISI-18,18,9,0,18,139.211343427571,-23.0593492041709,-1.5578045670837,PASS
ISI-19,19,9,0,19,141.833753318264,-22.1441993929574,-1.40152828307551,PASS
