TrialID,Mode,PayloadID,ResourceDigest,SampleRate_Hz,PAPR_dB,EVM_pct,OOB_dB,Status
1,CP-OFDM,PAYLOAD-1,04ac9e563d77b9062682eb2f6da8574063fa9bf0d30082f134644d04564dc6c6,3840000,7.26140442728059,1.29938392501196e-14,-33.1455314133908,PASS
1,CP-OFDM,PAYLOAD-1,04ac9e563d77b9062682eb2f6da8574063fa9bf0d30082f134644d04564dc6c6,7680000,7.26140492693573,1.29938392501196e-14,-33.1455314133908,PASS
1,CP-OFDM,PAYLOAD-1,04ac9e563d77b9062682eb2f6da8574063fa9bf0d30082f134644d04564dc6c6,15360000,7.26140492693573,1.29938392501196e-14,-33.1455314133908,PASS
1,CP-OFDM,PAYLOAD-1,04ac9e563d77b9062682eb2f6da8574063fa9bf0d30082f134644d04564dc6c6,30720000,7.26140492693573,1.29938392501196e-14,-33.1455314133908,PASS
1,DFT-s-OFDM,PAYLOAD-1,04ac9e563d77b9062682eb2f6da8574063fa9bf0d30082f134644d04564dc6c6,3840000,4.66109845654879,2.61845576667214e-14,-29.3747128254193,PASS
1,DFT-s-OFDM,PAYLOAD-1,04ac9e563d77b9062682eb2f6da8574063fa9bf0d30082f134644d04564dc6c6,7680000,4.69123297333402,2.61845576667214e-14,-29.3747128254193,PASS
1,DFT-s-OFDM,PAYLOAD-1,04ac9e563d77b9062682eb2f6da8574063fa9bf0d30082f134644d04564dc6c6,15360000,4.69123297333402,2.61845576667214e-14,-29.3747128254193,PASS
1,DFT-s-OFDM,PAYLOAD-1,04ac9e563d77b9062682eb2f6da8574063fa9bf0d30082f134644d04564dc6c6,30720000,4.69123297333402,2.61845576667214e-14,-29.3747128254193,PASS
2,CP-OFDM,PAYLOAD-2,8173a70fb82ab9a5dfc5b28c815d1f7981e9576eea02dfd2bb2725b898c7664e,3840000,6.90433475690418,1.44888358379205e-14,-36.2642952571885,PASS
2,CP-OFDM,PAYLOAD-2,8173a70fb82ab9a5dfc5b28c815d1f7981e9576eea02dfd2bb2725b898c7664e,7680000,6.99611683156996,1.44888358379205e-14,-36.2642952571885,PASS
2,CP-OFDM,PAYLOAD-2,8173a70fb82ab9a5dfc5b28c815d1f7981e9576eea02dfd2bb2725b898c7664e,15360000,6.99611683156995,1.44888358379205e-14,-36.2642952571885,PASS
2,CP-OFDM,PAYLOAD-2,8173a70fb82ab9a5dfc5b28c815d1f7981e9576eea02dfd2bb2725b898c7664e,30720000,6.99611683156996,1.44888358379205e-14,-36.2642952571885,PASS
2,DFT-s-OFDM,PAYLOAD-2,8173a70fb82ab9a5dfc5b28c815d1f7981e9576eea02dfd2bb2725b898c7664e,3840000,6.53213690038918,2.56019170715747e-14,-29.3527542425719,PASS
2,DFT-s-OFDM,PAYLOAD-2,8173a70fb82ab9a5dfc5b28c815d1f7981e9576eea02dfd2bb2725b898c7664e,7680000,6.53214274134127,2.56019170715747e-14,-29.3527542425719,PASS
