ImageFile,SourceCSV,SourceCSVSHA256,PNGSHA256,Width,Height,Title,XLabel,YLabel,AxesCount,SeriesCount,FinitePointCount,Status
waveform_ofdm_symbol_anatomy.png,waveform_symbol_timing.csv,3ee76735098aa448271a05e5e31f105f181e65fc5f8426a0d691173d3b4935c8,f58f51a57309eb7c388e941f404348a9ea56337064ead1b590107854b9280322,1035,786,OFDM symbol anatomy,Sample index,Symbol / CP,1,2,140,PASS
waveform_subcarrier_fft_map.png,waveform_subcarrier_mapping.csv,058fc50b7e64eaad962777ecfa4307a403ebcbf4dcc4442d82d0ea8b4f69992a,d13b981650e29a1ccd797f770507e770b81aa0294d244e2aa2cbfb3129e65e8f,1040,782,Resource grid to FFT-bin map,FFT bin,Resource element,1,2,600,PASS
waveform_cp_timeline.png,waveform_cp_insertion.csv,e858afab68f5f4dfff53bed9f65a623cbe40741af3bef101842e798b1755509f,0fb8cccefb57afd88eeb65291f1baba027ea958dabb8ad8e820abc10db5c56e5,1035,786,Cyclic-prefix insertion,Sample index,Amplitude,1,2,1314,PASS
waveform_stream_continuity.png,waveform_stream_continuity.csv,bd53e8207bd9d536fa2c0504503408715ad5d2227f7d06a8ab627ded1465f51a,091cc05bb96b11f60ce1e0838fd85c030b73c3cb4a7e0201e77c2c7a2cafdbff,1049,786,Waveform stream continuity,Boundary,Error,1,2,80,PASS
waveform_window_overlap.png,waveform_windowing_wola.csv,7396cd65415555173bf7ea72b3740c00a2cca6ae23e26c4bf200c194c7e8de28,78d760d32cc7d1f9398f3d57b6b750f9e22e6f565163aa02371e6ae1cb0721b6,1030,786,WOLA overlap-add window,Overlap sample,Window coefficient,1,2,36,PASS
waveform_cpofdm_vs_dfts_time.png,waveform_low_papr_processing.csv,d218af04f6be918df016665629ae401adbc69229dd7fe35d31c9c27ace4b3131,af6310e45bec0c6f5d77493760b0b5d02a8387fedb832b996b5047771c70c34e,1030,786,CP-OFDM and DFT-s-OFDM waveform,Sample,Amplitude,1,2,160,PASS
waveform_dft_spreading_map.png,waveform_transform_precoding.csv,17d288b4f1bf0d6ce04dfcf28c278222d6f873c4aa45ca16268e7fcd64477317,338cb004f9dedb3de2327b7b3420e0a02aa7e1267f815209482b1ebe91753bb3,1044,782,DFT spreading and localized mapping,DFT index,Mapped subcarrier,1,2,216,PASS
waveform_pi2bpsk_constellation.png,waveform_pi2bpsk.csv,6a4b547421f257a9e1a51ae19cd08da5a7d212cdb92a526fb5a5d311b1d3fffc,946af9f2ca465dfe8ce393d88fadbe98c5dd334fce8925430ac47a6c49eca566,1040,786,pi/2-BPSK constellation,In-phase,Quadrature,1,1,128,PASS
waveform_papr_ccdf.png,waveform_papr_ccdf.csv,64cd90b555ef06314ec013fc0b348a4598af3482b07b8eec6dc3ab4f82efe21d,8df567c6d4bf874d1b5e3eea8ebc2861583088360a7b4a525f9888c61083e664,1030,786,PAPR CCDF,PAPR threshold (dB),CCDF,1,2,40,PASS
waveform_psd_guardband.png,waveform_psd.csv,9e7fa4d4f9ab13397fea24b5cc06ed57d1f6bfce86341aea45a8c30a9f977458,02887c7902aa763c4ddbc0e07d5a4c8a31a48f5a147013bf89ea5711e65b6e89,1045,788,Waveform PSD and guard band,Frequency (Hz),PSD (dB/Hz),1,2,1024,PASS
waveform_windowing_oob_evm.png,waveform_windowing_wola.csv,7396cd65415555173bf7ea72b3740c00a2cca6ae23e26c4bf200c194c7e8de28,6350e701890745877f6564cd2a74a30c77667f596ac1c62abc0c7de9d89ced1b,1030,786,Windowing OOB and EVM trade-off,Overlap samples,Metric,1,2,36,PASS
waveform_multinumerology_timeline.png,waveform_multinumerology_composition.csv,833fbb8a956c4afde3e72e839b20b93b3810177982e7640f9f2a9535474bc15f,d1332641511eb68aa33d991522fb3154f14c4de8b83ddd73b9935672c0d789b9,1030,786,Multi-numerology timing,Absolute sample,Component,1,2,80,PASS
waveform_multinumerology_spectrum.png,waveform_psd.csv,9e7fa4d4f9ab13397fea24b5cc06ed57d1f6bfce86341aea45a8c30a9f977458,2e3bbfcf3b8255eaed4eb1aced269b57d1067bf43844d51f7b7e46c89633e762,1045,788,Multi-numerology spectrum,Frequency (Hz),PSD (dB/Hz),1,2,1024,PASS
waveform_component_carrier_spectrum.png,waveform_component_carrier_composition.csv,19a54d02f0db1693cb47478f2854001b31b19107105d4399f44cd19b074797db,43b96a42460643a11ac773ce030fb4bcfa1c40e166249a106b4a1c38abe22657,1030,786,Component-carrier spectrum,Frequency offset (Hz),Power,1,2,40,PASS
waveform_power_reconciliation.png,waveform_power_ledger.csv,43390039bd3141a8acd890c1ffb39092e0dc27f276ebc9d5d38d43771eaa211d,707dec7c7419a9814e3632b90eee60606ed1f13cba3e04517758fd2b346c17e6,1030,786,Waveform power reconciliation,Stage,Power error (dB),1,2,80,PASS
waveform_parseval_error.png,waveform_parseval.csv,86d0f3c0c817fc5a2128a05f51f66b864b0fad4b4425a4406accfb637110627c,9e4176a3f04bfedfaf03ba4ec8197ca7a7439cf73b6b6fb41eecb63d98bbca3c,1030,782,Parseval energy error,Case,Relative error,1,1,20,PASS
waveform_delay_vs_cp_isi.png,waveform_evm_isi_ici.csv,c9926aca02d992c9d1ae17e03d97b13337e70aee89baa668820b782d3974742f,9ccea3bd916ebf1365ec7844383f967b186b51ab159cb34f0dd011fd77490bb9,1030,786,Delay spread versus cyclic prefix,Delay / CP,ISI power (dB),1,2,40,PASS
waveform_cfo_timing_sensitivity.png,waveform_sync_sensitivity.csv,2051826a406685baa22836cce716b91ff19a03d8504633e4889b2dc4f59618f9,c0e86420c7f901177886bb3353ea1cb9a15ba1a5216d40b101b6eb77e82a7a3f,1030,786,CFO and timing sensitivity,Impairment,EVM / BLER,1,2,40,PASS
waveform_bler_vs_snr.png,waveform_awgn_roundtrip.csv,910babddfc4ef32d19f4d6be5112e8cf8ede8428cafdb0a78acfccbbbd4d71b5,ef323c0bbe182f729ccf848bd2a2b78711257d96e14b345ae5c9cedb3dded04a,1026,786,Waveform BLER versus SNR,SNR (dB),BLER,1,1,10,PASS
waveform_interference_composition.png,waveform_interference_composition.csv,18fd3aba8c6cede9cd9f7cbc4b1412b2ecaddc18c78e747b90e90817c2f27563,99f0fa983d0f2d4c917b92f534f35e9247e0cd617a178534ed9f5dbab965e5ea,1030,782,Waveform interference composition,Link,Power / error,1,2,40,PASS
waveform_runtime_scaling.png,waveform_runtime_scaling.csv,8dde5a4655ee648c809a82fe5bca4ad74e7d5976db2e0a7eb4f6424ef6cc91ba,31e9152781d01bd8a5bfdd081ca81c1d2033df7c5969c6253db91e7429d2ceba,1035,782,Waveform runtime scaling,Problem size,Runtime (s),1,2,20,PASS
