Direction,PAPR_dB,CCDF
"DL",17,1
"DL",17.0333333333333,1
"DL",17.0666666666667,1
"DL",17.1,1
"DL",17.1333333333333,1
"DL",17.1666666666667,1
"DL",17.2,1
"DL",17.2333333333333,1
"DL",17.2666666666667,0
"DL",17.3,0
"DL",17.3333333333333,0
"DL",17.3666666666667,0
"DL",17.4,0
"DL",17.4333333333333,0
"DL",17.4666666666667,0
"DL",17.5,0
"UL",10.5,1
"UL",10.5666666666667,1
"UL",10.6333333333333,0.5
"UL",10.7,0.5
"UL",10.7666666666667,0.5
"UL",10.8333333333333,0.5
"UL",10.9,0.5
"UL",10.9666666666667,0.5
"UL",11.0333333333333,0.5
"UL",11.1,0.5
"UL",11.1666666666667,0.5
"UL",11.2333333333333,0.5
"UL",11.3,0.5
"UL",11.3666666666667,0
"UL",11.4333333333333,0
"UL",11.5,0
