AbsoluteSlot,StartSample,StopSampleExclusive,DLActive,ULActive
0,0,61632,1,0
1,61632,123008,1,0
2,123008,184384,1,0
3,184384,245760,0,0
4,245760,307392,0,1
5,307392,368768,0,1
6,368768,430144,0,1
7,430144,491520,0,1
8,491520,553152,1,0
9,553152,614528,1,0
10,614528,675904,1,0
11,675904,737280,0,0
12,737280,798912,0,1
13,798912,860288,0,1
14,860288,921664,0,1
15,921664,983040,0,1
16,983040,1044672,1,0
17,1044672,1106048,1,0
18,1106048,1167424,1,0
19,1167424,1228800,0,0
20,1228800,1290432,0,1
21,1290432,1351808,0,1
22,1351808,1413184,0,1
23,1413184,1474560,0,1
24,1474560,1536192,1,0
25,1536192,1597568,1,0
26,1597568,1658944,1,0
27,1658944,1720320,0,0
28,1720320,1781952,0,1
29,1781952,1843328,0,1
30,1843328,1904704,0,1
31,1904704,1966080,0,1
32,1966080,2027712,1,0
33,2027712,2089088,1,0
34,2089088,2150464,1,0
35,2150464,2211840,0,0
36,2211840,2273472,0,1
37,2273472,2334848,0,1
38,2334848,2396224,0,1
39,2396224,2457600,0,1
40,2457600,2519232,1,0
41,2519232,2580608,1,0
42,2580608,2641984,1,0
43,2641984,2703360,0,0
44,2703360,2764992,0,1
45,2764992,2826368,0,1
46,2826368,2887744,0,1
47,2887744,2949120,0,1
48,2949120,3010752,1,0
49,3010752,3072128,1,0
50,3072128,3133504,1,0
51,3133504,3194880,0,0
52,3194880,3256512,0,1
53,3256512,3317888,0,1
54,3317888,3379264,0,1
55,3379264,3440640,0,1
56,3440640,3502272,1,0
57,3502272,3563648,1,0
58,3563648,3625024,1,0
59,3625024,3686400,0,0
60,3686400,3748032,0,1
61,3748032,3809408,0,1
62,3809408,3870784,0,1
63,3870784,3932160,0,1
64,3932160,3993792,1,0
65,3993792,4055168,1,0
66,4055168,4116544,1,0
67,4116544,4177920,0,0
68,4177920,4239552,0,1
69,4239552,4300928,0,1
70,4300928,4362304,0,1
71,4362304,4423680,0,1
72,4423680,4485312,1,0
73,4485312,4546688,1,0
74,4546688,4608064,1,0
75,4608064,4669440,0,0
76,4669440,4731072,0,1
77,4731072,4792448,0,1
78,4792448,4853824,0,1
79,4853824,4915200,0,1
