Case,Ok,Skipped,BER,BLER,Throughput_Mbps,EVM_rms,PAPR_CP_dB,PAPR_DFTs_dB,PAPR_Gain_dB,NMSE_dB,Notes,TrialCount,PassCount,FailCount,CrashCount,RequestedChannelModel,ObservedChannelModel,FallbackUsed
"CellSearch_MIB_SIB1",1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,"PBCH primary sweep; snr_grid_db=12",50,50,0,0,"CDL-D","CDL-D",0
"PRACH_Detection",1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,"PRACH primary sweep; snr_grid_db=12",50,50,0,0,"CDL-D","CDL-D",0
"DL_PDSCH_Throughput",1,0,0.15505090645687,0.266666666666667,3.20789333333333,1.28289414599376,NaN,NaN,NaN,NaN,"DL primary sweep; snr_grid_db=12; steady_state_warmup_rows_excluded=true",150,110,40,0,"CDL-D","CDL-D",0
"UL_PUSCH_Throughput",1,0,0.141902940207859,0.46875,9.27333333333333,1.78280096351575,NaN,NaN,NaN,NaN,"UL primary sweep; snr_grid_db=12; steady_state_warmup_rows_excluded=true",96,51,45,0,"CDL-D","CDL-D",0
"UL_SRS_ChannelEst",1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.2655854370409,"SRS primary sweep; snr_grid_db=12",37,37,0,0,"CDL-D","CDL-D",0
"UL_LowPAPR",1,0,NaN,NaN,NaN,NaN,10.1197779200016,2.54648297272579,7.57329494727581,NaN,"Avg over 10 frame(s), mod=16QAM",NaN,NaN,NaN,NaN,"","",0
