Direction,SignalFamily,SNR_dB,SFN,Frame,Slot,Time_s,CellID,BWPID,UEIndex,RNTI,ResourceID,ResourceSetID,CSIRSType,NumPorts,RowNumber,Density,Periodicity,SymbolLocations,SubcarrierLocations,RBOffset,NumRB,NRE,Scheduled,Transmitted,Observed,Consumed,Consumer,MeasurementRSRP_dB,MeasurementSource,UpdateOutcome,RuntimeMaterializationStatus,RuntimeBlocker,RuntimeEvidenceSource,RuntimeEventObserved,SourceArtifact,SourceTable
DL,CSI-RS,12,7,7,7,0.003,1,0,3,3,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-100.67940131757,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,5,5,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-116.498868323982,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,7,7,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-85.5166928614586,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,9,9,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-128.675537683259,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,14,14,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-100.346206897436,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,19,19,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-107.09630689643,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,26,26,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-112.759483128893,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,27,27,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-132.69084794182,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,43,43,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-110.294318842709,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,1,0,47,47,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-87.0339342676515,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,2,0,4,4,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-109.347176715033,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,2,0,6,6,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-121.83722647138,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,2,0,10,10,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-100.799904883668,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,2,0,29,29,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-110.231005074194,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,2,0,35,35,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-114.044748670204,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,2,0,41,41,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-105.712866925115,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,2,0,45,45,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-118.956715132779,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,2,0,50,50,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-100.171680753505,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,2,2,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-104.608858063217,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,12,12,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-79.165485125995,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,13,13,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-99.8990655665004,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
DL,CSI-RS,12,7,7,7,0.003,3,0,15,15,0,0,nzp,2,3,one,on,0,0,0,273,1092,1,1,1,1,csi_feedback_reference_power_measurement,-102.325232099716,received_csirs_reference_signal_power,observed_after_ofdm_demodulation,runtime_grid_mapped,not_applicable,sixgr.phy.dl.PDSCH_Rx:csirs_runtime_observation,1,air_interface/csv/csi_rs_trials.csv,air_interface/csv/csi_rs_trials.csv
