UEIndex,RNTI,Direction,ConfiguredLayers,ConfiguredTxAntennas,ConfiguredRxAntennas,BeamformingApplied,BeamSelectionStrategy,BeamIndexSet,ExecutionModel,Throughput_Mbps,ObservedRowCount,BLER,BER,PassRate,MeanMeasuredSINR_dB,MeanChannelGain_dB,SummaryRowValid,RuntimeDataPresent,UserHadAnySuccessfulTx,UserHadAnySuccessfulRx,PartialSuccess,AllObservedRowsSuccessful,SummaryStatus,Ok,OkDefinition,NumUsersConfigured
45,45,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.68,3,0,0,1,9.91145899403505,-139.869101293791,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
50,50,"DL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",4.336,3,0.333333333333333,0.314292763157895,0.666666666666667,28.7577345039363,-120.59897143388,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
2,2,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.34933333333333,3,0.666666666666667,0.221714937936938,0.333333333333333,24.50258461201,-120.081553958012,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
12,12,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.03466666666667,3,0,0,1,41.7733304856739,-108.296319872977,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
13,13,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.03466666666667,3,0,0,1,22.9462761440454,-125.13029767268,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
15,15,"DL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.69866666666667,3,0.333333333333333,0.0271147403685092,0.666666666666667,25.3666298285218,-123.039400048741,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
16,16,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.03466666666667,3,0,0,1,11.8208673966871,-137.046359895451,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
18,18,"DL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.42133333333333,3,0.333333333333333,0.0998965626989179,0.666666666666667,24.5308769759572,-124.169097472788,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
23,23,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.69866666666667,3,0.333333333333333,0.215480616038237,0.666666666666667,34.1466826398349,-114.723502586173,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
24,24,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.03466666666667,3,0,0,1,17.2097488084456,-132.250088925612,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
33,33,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.03466666666667,3,0,0,1,2.5833404274729,-146.175123980646,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
34,34,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.34933333333333,3,0.666666666666667,0.2126301892328,0.333333333333333,26.3602548144675,-98.5757106156264,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
20,20,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.24266666666667,3,0,0,1,4.40615701524061,-143.86945146235,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
22,22,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.47733333333333,3,0.666666666666667,0.150023386342376,0.333333333333333,42.6564654678968,-105.852142168173,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
32,32,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.24266666666667,3,0,0,1,23.4365969221628,-125.584484449285,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
37,37,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",2.95466666666667,3,0.333333333333333,0.0384457236842105,0.666666666666667,20.3658497438702,-129.07559467276,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
38,38,"DL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",18.4693333333333,3,0,0,1,31.526508788821,-113.416101998704,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
40,40,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",3.29066666666667,3,0,0,1,23.0165820093744,-125.632391671766,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
42,42,"DL",2,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.47733333333333,3,0.666666666666667,0.188054785020804,0.333333333333333,10.6838262506704,-138.638382494207,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
