Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,BeamSelectionStrategy,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,ExecutionModel,Status,TrialOrdinal,AbsoluteSlot,BeamDetectedFlag,MisalignmentFlag,BeamFailureFlag,PredictionSuccessFlag,TrialsSinceLastSwitch,StateBefore,StateAfter,BeamSweepEnabled,BeamCountConfigured
"DL",12,7,7,1,1,2,2,1,1,32,-115.425733460234,-115.425733460234,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",12,8,8,1,1,1,28,0,0,32,-130.799982507528,-130.75296437863,0.0470181288977471,"runtime_best_beam_per_link","runtime_best_beam_per_link","2|3","slot_coupled_truth","PASS",2,168,1,1,0,0,0,"aligned","misaligned",1,32
"DL",12,9,9,1,1,2,14,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","27|28","slot_coupled_truth","PASS",3,189,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,7,7,2,2,2,8,0,0,32,-112.776758233451,-112.5621581802,0.214600053250678,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,2,2,1,32,0,1,32,-109.151324392381,-109.150808331605,0.00051606077599331,"runtime_best_beam_per_link","runtime_best_beam_per_link","8|9","slot_coupled_truth","FAIL",2,168,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,9,9,2,2,1,32,0,0,32,-151.772300289983,-151.758753259822,0.0135470301611065,"runtime_best_beam_per_link","runtime_best_beam_per_link","32|33","slot_coupled_truth","FAIL",3,189,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,7,7,3,3,2,7,0,0,32,-107.387357751445,-107.24356953799,0.143788213455039,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,3,3,2,9,0,0,32,-130.881019736716,-130.316529770177,0.564489966539355,"runtime_best_beam_per_link","runtime_best_beam_per_link","6|7","slot_coupled_truth","FAIL",2,168,1,1,0,0,1,"misaligned","misaligned",1,32
"DL",12,9,9,3,3,2,6,0,0,32,-101.581843559487,-101.485217538292,0.0966260211948509,"runtime_best_beam_per_link","runtime_best_beam_per_link","9|10","slot_coupled_truth","FAIL",3,189,1,1,0,0,2,"misaligned","misaligned",1,32
"DL",12,7,7,4,4,2,2,1,1,32,-114.039683687149,-114.039683687149,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,0,0,1,0,"uninitialized","aligned",1,32
"DL",12,8,8,4,4,2,2,1,1,32,-114.079524441506,-114.079524441506,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",2,168,1,0,0,1,1,"aligned","aligned",1,32
"DL",12,9,9,4,4,1,1,1,1,32,-124.71353260919,-124.71353260919,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",3,189,1,0,0,1,0,"aligned","aligned",1,32
"DL",12,7,7,5,5,1,28,0,0,32,-124.595282578942,-124.271137531522,0.324145047420799,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,5,5,2,3,0,0,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","28|29","slot_coupled_truth","PASS",2,168,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,9,9,5,5,1,31,0,0,32,-120.051029919085,-119.93203749181,0.118992427274762,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",3,189,1,1,0,0,0,"misaligned","misaligned",1,32
"DL",12,7,7,6,6,1,29,0,0,32,-126.365292971689,-126.310561839187,0.0547311325021695,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,6,6,1,1,1,1,32,-156.53559774527,-156.53559774527,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","29","slot_coupled_truth","FAIL",2,168,1,0,0,1,1,"misaligned","aligned",1,32
"DL",12,9,9,6,6,1,1,1,1,32,-121.523700717742,-121.523700717742,0,"runtime_best_beam_per_link","runtime_best_beam_per_link","1","slot_coupled_truth","PASS",3,189,1,0,0,1,2,"aligned","aligned",1,32
"DL",12,7,7,7,7,2,3,0,0,32,-93.3097837412586,-93.2904856569331,0.0192980843255555,"runtime_best_beam_per_link","runtime_best_beam_per_link","1|2","slot_coupled_truth","PASS",1,147,1,1,0,0,0,"uninitialized","misaligned",1,32
"DL",12,8,8,7,7,1,19,0,0,32,-122.317513337476,-116.174585759091,6.14292757838564,"runtime_best_beam_per_link","runtime_best_beam_per_link","3|4","slot_coupled_truth","PASS",2,168,1,1,1,0,0,"misaligned","failed_alignment",1,32
