UEIndex,RNTI,Direction,SNR_dB,Frame,Slot,MCS,PRBs,Layers,ConfiguredLayers,ConfiguredTxAntennas,ConfiguredRxAntennas,ReceiverHestSINR_dB,WidebandCQI,RankIndicator,PMI,ChannelGain_dB,ConditionNumber_dB,RankEstimate,NumRxAntennas,NumTxPorts,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,SelectedBeamGain_dB,BestBeamGain_dB,BeamGainGap_dB,BeamSelectionStrategy,BeamIndexSet,ConfiguredBeamSelectionStrategy,AppliedBeamIndexSet,PrecoderSource,PrecodingMode,PrecodingApplicationStage,PrecodingActive,ExplicitBeamWeightsApplied,TransformPrecodingApplied,BeamformingApplied,AppliedPrecoderPMI,AppliedPrecoderPMIType,AppliedPrecoderCodebookMode,PrecodingNumPorts,PrecodingNumLayers,PrecodingMatrixRows,PrecodingMatrixCols,ExecutionModel,Status,BeamSweepEnabled,BeamCount
3,3,"DL",12,7,7,0,27,2,2,64,4,39.4446903754184,15,2,5,-103.478021701588,25.5996646277488,1,4,2,2,7,0,0,32,-107.387357751445,-107.24356953799,0.143788213455039,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
5,5,"DL",12,7,7,0,27,2,2,64,4,20.8696184745171,14,1,27,-120.918174849271,36.1468778192712,1,4,2,1,28,0,0,32,-124.595282578942,-124.271137531522,0.324145047420799,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
7,7,"DL",12,7,7,0,27,2,2,64,4,24.3222700113384,15,2,2,-89.7950298138592,39.6397214578325,1,4,2,2,3,0,0,32,-93.3097837412586,-93.2904856569331,0.0192980843255555,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
9,9,"DL",12,7,7,0,27,2,2,64,4,12.610368303274,10,1,4,-132.020067116523,32.2521890650161,1,4,2,2,5,0,0,32,-135.353624517446,-135.200092264898,0.153532252548018,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
14,14,"DL",12,7,7,0,27,2,2,64,4,9.433347041507,8,1,8,-104.889176726269,42.3125278462671,1,4,2,2,9,0,0,32,-108.773193751257,-108.399673477357,0.373520273899913,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
19,19,"DL",12,7,7,0,27,2,2,64,4,30.6545767848233,15,2,17,-110.390876867699,25.5597674336453,1,4,2,1,19,0,0,32,-114.742187728543,-113.968863879669,0.773323848874256,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
26,26,"DL",12,7,7,0,27,2,2,64,4,28.3572433635823,15,1,0,-118.609224801477,36.7100478080138,1,4,2,1,1,1,1,32,-121.609517571585,-121.609517571585,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
27,27,"DL",12,7,7,0,27,2,2,64,4,7.40219237435299,6,1,0,-135.097029715007,43.431043229554,1,4,2,1,1,1,1,32,-138.840043013652,-138.840043013652,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
43,43,"DL",12,7,7,0,27,2,2,64,4,29.4463451626909,15,2,31,-113.602879764642,38.5510903386416,1,4,2,1,1,1,1,32,-117.402748536685,-117.402748536685,0,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
47,47,"DL",12,7,7,0,27,2,2,64,4,53.7321356145399,15,2,6,-89.2619192085244,38.4071558190686,1,4,2,2,7,0,0,32,-92.9927517829154,-92.722282544164,0.270469238751375,"runtime_best_beam_per_link","1|2","runtime_best_beam_per_link","1|2","codebook_dft","explicit-wideband","nrPDSCHPrecode_before_RE_mapping",1,1,0,1,0,"type1","type1_su_mimo",64,2,64,2,"slot_coupled_truth","PASS",1,32
