Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,TrialOrdinal,AbsoluteSlot,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,BeamGainGap_dB,BeamSelectionStrategy,ExecutionModel,Status,EventType,AcquisitionEventFlag,SwitchEventFlag,FirstHitEventFlag,BeamDetectedEventFlag,MisalignmentEventFlag,FailureEventFlag,SwitchLatencySlots,SwitchLatency_s,TrialsToFirstHit,StateBefore,StateAfter
"DL",12,7,7,22,22,1,147,2,3,0,0,32,0.00910487744866373,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,3,"uninitialized","misaligned"
"DL",12,8,8,22,22,2,168,1,28,0,0,32,0.38296110576708,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,3,"misaligned","misaligned"
"DL",12,9,9,22,22,3,189,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH|BEAM_REFINEMENT_CONVERGED",0,1,1,0,0,0,21,0.0105,3,"misaligned","aligned"
"DL",12,7,7,23,23,1,147,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_REFINEMENT_CONVERGED|BEAM_DETECTED",1,0,1,1,0,0,NaN,NaN,1,"uninitialized","aligned"
"DL",12,8,8,23,23,2,168,1,28,0,0,32,0.204534662087639,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,1,"aligned","misaligned"
"DL",12,9,9,23,23,3,189,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH",0,1,0,0,0,0,42,0.021,1,"misaligned","aligned"
"DL",12,7,7,24,24,1,147,2,3,0,1,32,0.00257401690961956,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,24,24,2,168,2,3,0,0,32,0.0452374068628671,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,9,9,24,24,3,189,2,3,0,0,32,0.0539630282003714,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,25,25,1,147,1,26,0,0,32,0.35726043555006,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,3,"uninitialized","misaligned"
"DL",12,8,8,25,25,2,168,2,6,0,0,32,0.14580590452573,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,3,"misaligned","misaligned"
"DL",12,9,9,25,25,3,189,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH|BEAM_REFINEMENT_CONVERGED",0,1,1,0,0,0,21,0.0105,3,"misaligned","aligned"
"DL",12,7,7,26,26,1,147,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_REFINEMENT_CONVERGED|BEAM_DETECTED",1,0,1,1,0,0,NaN,NaN,1,"uninitialized","aligned"
"DL",12,8,8,26,26,2,168,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_TRACK",0,0,0,0,0,0,NaN,NaN,1,"aligned","aligned"
"DL",12,9,9,26,26,3,189,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_TRACK",0,0,0,0,0,0,NaN,NaN,1,"aligned","aligned"
"DL",12,7,7,27,27,1,147,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_REFINEMENT_CONVERGED|BEAM_DETECTED",1,0,1,1,0,0,NaN,NaN,1,"uninitialized","aligned"
"DL",12,8,8,27,27,2,168,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH",0,1,0,0,0,0,21,0.0105,1,"aligned","aligned"
"DL",12,9,9,27,27,3,189,1,1,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH",0,1,0,0,0,0,21,0.0105,1,"aligned","aligned"
"DL",12,7,7,28,28,1,147,2,5,0,0,32,0.0355898533699133,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,3,"uninitialized","misaligned"
"DL",12,8,8,28,28,2,168,2,3,0,0,32,0.0595128914978318,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,3,"misaligned","misaligned"
"DL",12,9,9,28,28,3,189,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_REFINEMENT_CONVERGED",0,0,1,0,0,0,NaN,NaN,3,"misaligned","aligned"
"DL",12,7,7,29,29,1,147,1,25,0,0,32,0.394888502742162,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,29,29,2,168,1,29,0,0,32,0.0692366712498114,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,9,9,29,29,3,189,2,3,0,1,32,0.0142931601981786,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,42,0.021,NaN,"misaligned","misaligned"
"DL",12,7,7,30,30,1,147,2,17,0,0,32,0.0670423236953468,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,30,30,2,168,2,11,0,0,32,0.318572396885912,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
