"stage","llr_count","finite_count","min_llr","max_llr","mean_abs_llr","sign_convention","scale_status","status"
"pre_rate_recovery","","","","","","","pending","pending_live_reproduction"
"post_rate_recovery","","","","","","","pending","pending_live_reproduction"
"post_soft_combining","","","","","","","pending","pending_live_reproduction"
