Occasion,AbsoluteSlot0,StartSample,EndSampleExclusive,IQFirstRow,IQRowCount,ReceiveBranches,HARQBits,SignalPresent,Detected,FalseACKBits,DetectionMetric,DetectionThreshold,DetectionThresholdSource,NoiseStreamSeed,InjectedSampleNoiseVariance,ConfiguredReferenceEsN0_dB,RFAppliedStageCount,TimingSource,Source,IQSHA256
10,49,376320,384000,69121,7680,2,1,0,0,0,0.276407457001333,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
10,49,376320,384000,69121,7680,2,2,0,0,0,0.276407457001333,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
11,54,414720,422400,76801,7680,2,1,0,0,0,0.263662292928927,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
11,54,414720,422400,76801,7680,2,2,0,0,0,0.276568077795643,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
12,59,453120,460800,84481,7680,2,1,0,1,1,0.429243100744957,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
12,59,453120,460800,84481,7680,2,2,0,1,2,0.429243100744957,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
13,64,491520,499200,92161,7680,2,1,0,0,0,0.262160610474465,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
13,64,491520,499200,92161,7680,2,2,0,0,0,0.320366833563633,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
14,69,529920,537600,99841,7680,2,1,0,0,0,0.250045597650287,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
14,69,529920,537600,99841,7680,2,2,0,1,1,0.444293761973747,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
