Direction,AbsoluteSlot,TBID,StartSample,StopSampleExclusive,TBSBits,CodedBits,Qm,Layers,TargetCodeRate,CRCPass,TBExact,BitErrors,BER,CodedBER,EVMRMS,ReferenceErrorSINRdB,ConfiguredReferenceSNRdB,ExpectedDataREPowerPerPort,MeasuredTXDataREPower,InjectedSampleNoiseVariance,ExpectedGridNoiseVariance,MeasuredDMRSNoiseVariance,Source,StandardNR
"DL",0,"DL_0",0,61632,638984,760320,10,2,0.85,0,0,406,0.000635383671578631,0.0289430765993266,0.0377823858827769,28.4542124142511,30,0.5,0.500021213478899,1.220703125e-07,0.0005,0.000508165092370701,"actual_coded_research_waveform",0
"DL",1,"DL_1",61632,123008,638984,760320,10,2,0.85,0,0,10,1.56498441275525e-05,0.0293771043771044,0.0379295712317556,28.4204413335187,30,0.5,0.500715472787526,1.220703125e-07,0.0005,0.000525290510288916,"actual_coded_research_waveform",0
"DL",2,"DL_2",123008,184384,638984,760320,10,2,0.85,1,1,0,0,0.0287642045454545,0.0377097254950372,28.4709325799038,30,0.5,0.500644426918276,1.220703125e-07,0.0005,0.000516190236917755,"actual_coded_research_waveform",0
"UL",4,"UL_4",245760,307392,638984,760320,10,2,0.85,0,0,26,4.06895947316365e-05,0.0288904671717172,0.037867193821252,28.4347375485478,30,0.5,0.498330692062389,1.220703125e-07,0.0005,0.000511208131938782,"actual_coded_research_waveform",0
"UL",5,"UL_5",307392,368768,638984,760320,10,2,0.85,0,0,3,4.69495323826575e-06,0.0289904250841751,0.0376177604907234,28.4921412599614,30,0.5,0.501556606509893,1.220703125e-07,0.0005,0.000500212560110221,"actual_coded_research_waveform",0
"UL",6,"UL_6",368768,430144,638984,760320,10,2,0.85,0,0,97,0.000151803488037259,0.029229797979798,0.0378572193086579,28.4370257806386,30,0.5,0.499590772707549,1.220703125e-07,0.0005,0.00050164230059625,"actual_coded_research_waveform",0
"UL",7,"UL_7",430144,491520,638984,760320,10,2,0.85,0,0,47,7.35542673994967e-05,0.0286642466329966,0.0375949382796857,28.497412476543,30,0.5,0.503004600007923,1.220703125e-07,0.0005,0.000498651781054378,"actual_coded_research_waveform",0
"DL",8,"DL_8",491520,553152,638984,760320,10,2,0.85,0,0,386,0.000604083983323526,0.0290864372895623,0.0377842009317746,28.453795158002,30,0.5,0.500579166543267,1.220703125e-07,0.0005,0.000512126232877146,"actual_coded_research_waveform",0
"DL",9,"DL_9",553152,614528,638984,760320,10,2,0.85,0,0,113,0.000176843238641343,0.0292219065656566,0.0378394956491097,28.4410932161598,30,0.5,0.501439816666197,1.220703125e-07,0.0005,0.000503415112034866,"actual_coded_research_waveform",0
"DL",10,"DL_10",614528,675904,638984,760320,10,2,0.85,0,0,480,0.00075119251812252,0.0289023042929293,0.0379361805083363,28.4189279379273,30,0.5,0.497347466601524,1.220703125e-07,0.0005,0.000511162052437578,"actual_coded_research_waveform",0
"UL",12,"UL_12",737280,798912,638984,760320,10,2,0.85,1,1,0,0,0.028169718013468,0.0375024357409341,28.5188104883822,30,0.5,0.496902986364155,1.220703125e-07,0.0005,0.000511751132755646,"actual_coded_research_waveform",0
"UL",13,"UL_13",798912,860288,638984,760320,10,2,0.85,0,0,207,0.000323951773440337,0.028833912037037,0.0377044871722101,28.4721392355839,30,0.5,0.499693985924767,1.220703125e-07,0.0005,0.000517964687674312,"actual_coded_research_waveform",0
"UL",14,"UL_14",860288,921664,638984,760320,10,2,0.85,0,0,91,0.000142413581560728,0.0289851641414141,0.0377929845533155,28.4517762003714,30,0.5,0.500792612710708,1.220703125e-07,0.0005,0.00052907349812977,"actual_coded_research_waveform",0
"UL",15,"UL_15",921664,983040,638984,760320,10,2,0.85,0,0,120,0.00018779812953063,0.0292495265151515,0.0379089119616849,28.425173604965,30,0.5,0.500421569680208,1.220703125e-07,0.0005,0.000503612570059712,"actual_coded_research_waveform",0
"DL",16,"DL_16",983040,1044672,638984,760320,10,2,0.85,0,0,221,0.00034586155521891,0.0288825757575758,0.0377664634859259,28.4578736264344,30,0.5,0.499463337554455,1.220703125e-07,0.0005,0.000505439560638219,"actual_coded_research_waveform",0
"DL",17,"DL_17",1044672,1106048,638984,760320,10,2,0.85,0,0,241,0.000377161243474015,0.0296138468013468,0.0380263423005232,28.3983089348898,30,0.5,0.499589461328855,1.220703125e-07,0.0005,0.000525668512901219,"actual_coded_research_waveform",0
"DL",18,"DL_18",1106048,1167424,638984,760320,10,2,0.85,0,0,9,1.40848597147972e-05,0.029157460016835,0.0379293326525511,28.4204959684405,30,0.5,0.498395412457938,1.220703125e-07,0.0005,0.00051397186733921,"actual_coded_research_waveform",0
"UL",20,"UL_20",1228800,1290432,638984,760320,10,2,0.85,0,0,265,0.000414720869380141,0.0289970012626263,0.0379735104981508,28.4103850445613,30,0.5,0.49874562770918,1.220703125e-07,0.0005,0.000520562738474939,"actual_coded_research_waveform",0
"UL",21,"UL_21",1290432,1351808,638984,760320,10,2,0.85,0,0,328,0.000513314887383722,0.0287931397306397,0.0376263190109885,28.49016533406,30,0.5,0.500490147071917,1.220703125e-07,0.0005,0.000508489832681636,"actual_coded_research_waveform",0
"UL",22,"UL_22",1351808,1413184,638984,760320,10,2,0.85,0,0,221,0.00034586155521891,0.0291811342592593,0.0377429000872664,28.4632946517804,30,0.5,0.501925103922929,1.220703125e-07,0.0005,0.000502215606972724,"actual_coded_research_waveform",0
"UL",23,"UL_23",1413184,1474560,638984,760320,10,2,0.85,0,0,117,0.000183103176292364,0.0288746843434343,0.0376626812892515,28.4817752967563,30,0.5,0.500325607615772,1.220703125e-07,0.0005,0.000512627906246768,"actual_coded_research_waveform",0
