TrialRow,PositiveObjectiveRow,TBAttempted,ObjectiveRowPass,StrictReceiverEvidenceOk,ChannelEstimateAttempted,ChannelEstimateAvailable,ResourceExtractionAttempted,ResourceExtractionAvailable,EqualizationAttempted,EqualizationAvailable,DLSCHDecodeAttempted,DLSCHDecodeAvailable,LLRAvailable,LLRFinite,PostEqSINRAvailable,PostEqSINRReceiverDerived,PostEqSINRWidebanddB,SINRValidationStatus,ConfiguredSNRLikeSourceRejected,TBCrcKnown,TBCrcPass,BitErrors,BitsCompared,SNR_dB,EffectiveMCSIndex,EffectiveModulation,EffectiveLayers,EffectiveRank,ConfiguredMCSIndex,ConfiguredModulation,ConfiguredLayers,ConfiguredRank,ConfiguredEffectiveCheckApplicable,ConfiguredEffectiveMatch,MCSMatch,ModulationMatch,LayerMatch,RankMatch,NoProxyEvidenceOk,SkippedOrUnavailable,Crash,IsRetransmission,GrantBindingOk,MIMOEvidenceReferenceOk,ChannelRFReferenceOk,ObjectiveRowClass,RowFailureReason
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.98491582807434,"pass",0,1,0,85018,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.931491516601934,"pass",0,1,0,74580,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.78334819647079,"pass",0,1,0,82545,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.99747680577126,"pass",0,1,0,72181,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9.66593678748685,"pass",0,1,0,32857,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
6,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10.9514379074899,"pass",0,1,0,29841,184424,20,19,"64QAM",2,4,20,"256QAM",2,2,1,0,0,0,1,0,1,0,0,0,1,1,1,"positive_runtime_trial","configured_effective_mismatch"
