ObligationID,UEIndex,RNTI,ServingCell,ComponentCarrier,ActiveULBWP,CSIReportConfigID,CSIConfigurationEpoch,PUCCHConfigurationEpoch,ReportSlot,CSIReferenceSlot,ReportPeriodSlots,ReportOffsetSlots,ReportSubcarrierSpacing_kHz,PUCCHResourceID,StartSymbol,NumSymbols,ULResourceAvailable,ResourceBlocker,ReceiverContextDigest,EvidenceClass,ProducerStatus
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_4,1,1,1,0,0,csi-report-0,0,1,4,NaN,5,3,15,10,12,2,1,,d14c525cccac64994ca2b8d64cb8da87d98f483eb07f6110e74ace605d03164b,configured_report_obligation_not_RF_execution,no_CSI_reference_resource_in_current_sweep
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_9,1,1,1,0,0,csi-report-0,0,1,9,4,5,3,15,10,12,2,1,,ff733b6baa96f3a48747f76cb5611997984444d28522d588972e4502a019a19b,configured_report_obligation_not_RF_execution,report_slot_reached_no_new_payload_preparation
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_14,1,1,1,0,0,csi-report-0,0,1,14,9,5,3,15,10,12,2,1,,3b6be20f422d2ef1422b7b7ef8d5e31040af9c3c7a2744da9fb4de8481c44fae,configured_report_obligation_not_RF_execution,eligible_received_CSI_report_queued
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_19,1,1,1,0,0,csi-report-0,0,1,19,14,5,3,15,10,12,2,1,,05ded811eb059488274f8ee7c60c8c4fb08b2bc3beed0d9512e037438acfa736,configured_report_obligation_not_RF_execution,reference_resource_not_yet_complete
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_24,1,1,1,0,0,csi-report-0,0,1,24,19,5,3,15,10,12,2,1,,009d869e64ab9477ad1043c790f02ca2feb5da3fed7ab7e777a3df3f239e7829,configured_report_obligation_not_RF_execution,reference_resource_not_yet_complete
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_29,1,1,1,0,0,csi-report-0,0,1,29,24,5,3,15,10,12,2,1,,dc471967fcd1249fca454454436451426cc99b7e32e154af70d3fb57e2c3ad44,configured_report_obligation_not_RF_execution,reference_resource_not_yet_complete
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_34,1,1,1,0,0,csi-report-0,0,1,34,29,5,3,15,10,12,2,1,,9555c3a59d7e5fd3c45c330ebf181393d1d72a7babd996b274248830e6cc27f8,configured_report_obligation_not_RF_execution,reference_resource_not_yet_complete
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_39,1,1,1,0,0,csi-report-0,0,1,39,34,5,3,15,10,12,2,1,,cea0f0cec1475926ab655728e3ce9f46691db133fdcf8e394fe1338060d6d1f3,configured_report_obligation_not_RF_execution,reference_resource_not_yet_complete
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_44,1,1,1,0,0,csi-report-0,0,1,44,39,5,3,15,10,12,2,1,,08d8a23afd22fb84b22c6fbde8fe592d3d8bddd5d82c052336c6fef888d1dfe4,configured_report_obligation_not_RF_execution,reference_resource_not_yet_complete
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_49,1,1,1,0,0,csi-report-0,0,1,49,44,5,3,15,10,12,2,1,,9a5c4553656d4868f0de8ae4d489da220dadd9dd596f114765ffdc61e2bad183,configured_report_obligation_not_RF_execution,reference_resource_not_yet_complete
periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_54,1,1,1,0,0,csi-report-0,0,1,54,49,5,3,15,10,12,2,1,,20f151fcb32505584ad9197ef3eaa775aae5eb05e91d69d83f33bced6484cfc3,configured_report_obligation_not_RF_execution,reference_resource_not_yet_complete
