Direction,UEIndex,RNTI,SourceSlot,DueSlot,EnqueuedSlot,DeliveredSlot,MeasurementAvailableSlot,MeasurementAvailableAtSample,MeasurementClockEpoch,MeasurementClockDomain,CSIReferenceSlot,SourceSignal,MeasurementSource,ReportIdentity,DeliveryStatus,CSIReportConfigID,CSIConfigurationEpoch,CSIUCIChannel,CSIPart1BitsToken,CSIPart2BitsToken,CSIPart1BitCount,CSIPart2BitCount,CSIUCIBitCount,CSIUCITransport,CSIUCIDecodeOk,CSIUCIMultiplexedOnPUSCH,CSIUCIPUSCHGrantContextId,CSIUCICRCPass,CSIUCIDecodedBitCount,CSIUCIDecodedBitsToken,CSIUCIDeliveryReason,CQI,RI,PMI,LI,CRI,PMI_I11,PMI_I12,PMI_I13,PMI_I2,SINR_dB,SINRSource,SINRValueRole,SINRValueStatus,MCSIndex,TargetCodeRate,Modulation,RawCQIDerivedMCS,RawCQIDerivedTargetCodeRate,RawCQIDerivedModulation,LinkAdaptationMCSIndex,LinkAdaptationDecisionReason,MCSSelectionSource,MCSValueStatus,CQIBasedMCS,SmoothedCQI,InstantaneousCQIMCS,DeltaMCS,StaticDeltaMCS,OLLAAdjustedMCSBeforeCQICeiling,OLLABaseRequiredSINR_dB,OLLATargetRequiredSINR_dB,OLLAThresholdSource,EffectiveCQISmoothingAlpha,CSITemporalCorrelationWeight,CSIAgeSeconds,CSICoherenceTimeSeconds,CSIAgingModel,SubbandSINRVector_dB,AgedSubbandSINRVector_dB,PostEqSINRPerLayer_dB,AgedPostEqSINRPerLayer_dB,SubbandAgingPenaltyVector_dB,LayerAgingPenaltyVector_dB,SubbandCSIAgeSlots,LayerCSIAgeSlots,SubbandDopplerHz,LayerDopplerHz,SpatialSignatureToken,SpatialSignatureSHA256,SpatialSignatureSource,SpatialSignatureSourceSlot,SpatialSignatureMeasurementDirection,SpatialSignatureReciprocityMode,OuterLoopEnabled,InnerLoopEnabled,LinkAdaptationStateUpdateCount,OLLAUpdateCount,OLLAStateAuthority,OLLAUpdateCountBeforeEvent,OLLAUpdateCountAfterEvent,OLLAUpdateAppliedAtThisEvent,OLLAUpdateAuthorized,OLLAFeedbackEventType,OLLAUpdateAuthoritySource,OLLAFeedbackEligible,OLLAFeedbackExclusionReason,SchedulerCQIRawCQI,SchedulerResolvedCQI,SchedulerAdjustedSINR_dB,SchedulerSINRBackoff_dB,SchedulerCQISource,CRCPass,MUMIMOEnabled,MUMIMOGroupSize,MUMIMOGroupId,ServingCell,Processed,RightCensored,CensorBoundarySlot,CensorReason,CensorScope
DL,1,1,3,9,5,NaN,3,NaN,NaN,slot_only,4,CSI-RS,declared_received_CSI_calendar_fixture,periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_9,pending_receiver_decoded_csi_uci,csi-report-0,0,PUCCH,"{""ContractVersion"":""sixgr_raw_csv_array/v1"",""Class"":""int8"",""Size"":[7,1],""ValueKind"":""numeric_bytes"",""RealHex"":""00000001000101"",""ImagHex"":"""",""Values"":[],""MissingMask"":[]}","{""ContractVersion"":""sixgr_raw_csv_array/v1"",""Class"":""int8"",""Size"":[0,1],""ValueKind"":""numeric_bytes"",""RealHex"":"""",""ImagHex"":"""",""Values"":[],""MissingMask"":[]}",7,0,7,pucch,0,0,,NaN,0,,typed_csi_report_waiting_for_receiver_decode,11,1,0,0,0,NaN,NaN,NaN,NaN,18.5,,,,20,0.5537109375,64QAM,20,0.5537109375,64QAM,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,3,,,0,0,NaN,NaN,,NaN,NaN,0,0,,,0,,NaN,NaN,NaN,NaN,,NaN,0,1,NaN,1,0,1,NaN,,
DL,1,1,8,14,10,NaN,8,NaN,NaN,slot_only,9,CSI-RS,declared_received_CSI_calendar_fixture,periodic_csi_f1356cb3129af7877b8230eb6a7dace3bb1bcac9885d8a39b4da7f589cea52da_slot_14,pending_receiver_decoded_csi_uci,csi-report-0,0,PUCCH,"{""ContractVersion"":""sixgr_raw_csv_array/v1"",""Class"":""int8"",""Size"":[7,1],""ValueKind"":""numeric_bytes"",""RealHex"":""00000001010000"",""ImagHex"":"""",""Values"":[],""MissingMask"":[]}","{""ContractVersion"":""sixgr_raw_csv_array/v1"",""Class"":""int8"",""Size"":[0,1],""ValueKind"":""numeric_bytes"",""RealHex"":"""",""ImagHex"":"""",""Values"":[],""MissingMask"":[]}",7,0,7,pucch,0,0,,NaN,0,,typed_csi_report_waiting_for_receiver_decode,12,1,0,0,0,NaN,NaN,NaN,NaN,18.5,,,,22,0.650390625,64QAM,22,0.650390625,64QAM,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,8,,,0,0,NaN,NaN,,NaN,NaN,0,0,,,0,,NaN,NaN,NaN,NaN,,NaN,0,1,NaN,1,0,0,NaN,,
