route,page,kind,section_slug,artifact
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_dl_scheduler_grants,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_dl_scheduler_grants_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_ul_scheduler_grants,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_ul_scheduler_grants_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_queue_state,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_queue_state_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_buffer_status,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_buffer_status_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_hol_delay_state,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_hol_delay_state_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_qos_state,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_qos_state_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_mac_pdu_summary,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_mac_pdu_summary_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_power_control_state,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_power_control_state_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_phr_state,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_phr_state_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_sr_state,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_sr_state_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_bsr_state,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_bsr_state_v
/reports/scheduler-mac-queue-qos-power-control-uci-flow/tables/live_mac_ce_state,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,live_mac_ce_state_v
/reports/harq-ack-nack-retransmission/tables/live_harq_process_table,reports,reports,harq-ack-nack-retransmission,live_harq_process_table_v
/reports/harq-ack-nack-retransmission/tables/live_harq_timeline,reports,reports,harq-ack-nack-retransmission,live_harq_timeline_v
/reports/harq-ack-nack-retransmission/tables/live_ack_nack_table,reports,reports,harq-ack-nack-retransmission,live_ack_nack_table_v
/reports/harq-ack-nack-retransmission/tables/live_soft_buffer_table,reports,reports,harq-ack-nack-retransmission,live_soft_buffer_table_v
/reports/dl-control-phy-pdcch/tables/live_pdcch_stage_table,reports,reports,dl-control-phy-pdcch,live_pdcch_stage_table_v
/reports/dl-control-phy-pdcch/tables/live_pdcch_summary,reports,reports,dl-control-phy-pdcch,live_pdcch_summary_v
/reports/dl-control-phy-pdcch/tables/live_pdcch_dmrs_table,reports,reports,dl-control-phy-pdcch,live_pdcch_dmrs_table_v
/reports/ssb-pbch-pss-sss/tables/live_ssb_stage_table,reports,reports,ssb-pbch-pss-sss,live_ssb_stage_table_v
/reports/ssb-pbch-pss-sss/tables/live_pbch_summary,reports,reports,ssb-pbch-pss-sss,live_pbch_summary_v
/reports/ssb-pbch-pss-sss/tables/live_sync_signal_state,reports,reports,ssb-pbch-pss-sss,live_sync_signal_state_v
/reports/csi-rs/tables/live_csirs_stage_table,reports,reports,csi-rs,live_csirs_stage_table_v
/reports/csi-rs/tables/live_csirs_resource_table,reports,reports,csi-rs,live_csirs_resource_table_v
/reports/pdsch-dl-data-chain/tables/live_pdsch_stage_table,reports,reports,pdsch-dl-data-chain,live_pdsch_stage_table_v
/reports/pdsch-dl-data-chain/tables/live_pdsch_transport_block_table,reports,reports,pdsch-dl-data-chain,live_pdsch_transport_block_table_v
/reports/pdsch-dl-data-chain/tables/live_pdsch_code_block_table,reports,reports,pdsch-dl-data-chain,live_pdsch_code_block_table_v
/reports/pdsch-dl-data-chain/tables/live_pdsch_mapping_table,reports,reports,pdsch-dl-data-chain,live_pdsch_mapping_table_v
/reports/pdsch-dl-data-chain/tables/live_pdsch_dmrs_ptrs_table,reports,reports,pdsch-dl-data-chain,live_pdsch_dmrs_ptrs_table_v
/reports/pusch-ul-data-chain/tables/live_pusch_stage_table,reports,reports,pusch-ul-data-chain,live_pusch_stage_table_v
/reports/pusch-ul-data-chain/tables/live_pusch_rx_summary,reports,reports,pusch-ul-data-chain,live_pusch_rx_summary_v
/reports/pusch-ul-data-chain/tables/live_ul_dmrs_table,reports,reports,pusch-ul-data-chain,live_ul_dmrs_table_v
/reports/pusch-ul-data-chain/tables/live_llr_summary,reports,reports,pusch-ul-data-chain,live_llr_summary_v
/reports/pusch-ul-data-chain/tables/live_decoder_summary,reports,reports,pusch-ul-data-chain,live_decoder_summary_v
/reports/pucch-f0-f1-f2-f3-f4/tables/live_pucch_summary,reports,reports,pucch-f0-f1-f2-f3-f4,live_pucch_summary_v
/reports/pucch-f0-f1-f2-f3-f4/tables/live_pucch_f0_table,reports,reports,pucch-f0-f1-f2-f3-f4,live_pucch_f0_table_v
/reports/pucch-f0-f1-f2-f3-f4/tables/live_pucch_f1_table,reports,reports,pucch-f0-f1-f2-f3-f4,live_pucch_f1_table_v
/reports/pucch-f0-f1-f2-f3-f4/tables/live_pucch_f2_table,reports,reports,pucch-f0-f1-f2-f3-f4,live_pucch_f2_table_v
/reports/pucch-f0-f1-f2-f3-f4/tables/live_pucch_f3_table,reports,reports,pucch-f0-f1-f2-f3-f4,live_pucch_f3_table_v
/reports/pucch-f0-f1-f2-f3-f4/tables/live_pucch_f4_table,reports,reports,pucch-f0-f1-f2-f3-f4,live_pucch_f4_table_v
/reports/pucch-f0-f1-f2-f3-f4/tables/live_uci_table,reports,reports,pucch-f0-f1-f2-f3-f4,live_uci_table_v
/reports/prach-random-access/tables/live_prach_stage_table,reports,reports,prach-random-access,live_prach_stage_table_v
/reports/prach-random-access/tables/live_prach_detection_table,reports,reports,prach-random-access,live_prach_detection_table_v
/reports/prach-random-access/tables/live_random_access_state,reports,reports,prach-random-access,live_random_access_state_v
/reports/srs-ul-sounding-massive-mimo-inputs/tables/live_srs_stage_table,reports,reports,srs-ul-sounding-massive-mimo-inputs,live_srs_stage_table_v
/reports/srs-ul-sounding-massive-mimo-inputs/tables/live_srs_channel_estimation_table,reports,reports,srs-ul-sounding-massive-mimo-inputs,live_srs_channel_estimation_table_v
/reports/srs-ul-sounding-massive-mimo-inputs/tables/live_csi_output_table,reports,reports,srs-ul-sounding-massive-mimo-inputs,live_csi_output_table_v
/reports/channel-interference-impairments/tables/live_channel_realization_table,reports,reports,channel-interference-impairments,live_channel_realization_table_v
/reports/channel-interference-impairments/tables/live_interference_table,reports,reports,channel-interference-impairments,live_interference_table_v
/reports/channel-interference-impairments/tables/live_impairment_table,reports,reports,channel-interference-impairments,live_impairment_table_v
/reports/channel-interference-impairments/tables/live_tracking_table,reports,reports,channel-interference-impairments,live_tracking_table_v
/reports/measurements-csi-link-adaptation-inputs/tables/live_measurement_table,reports,reports,measurements-csi-link-adaptation-inputs,live_measurement_table_v
/reports/measurements-csi-link-adaptation-inputs/tables/live_csi_feedback_table,reports,reports,measurements-csi-link-adaptation-inputs,live_csi_feedback_table_v
/reports/measurements-csi-link-adaptation-inputs/tables/live_link_adaptation_input_table,reports,reports,measurements-csi-link-adaptation-inputs,live_link_adaptation_input_table_v
/reports/beamforming-precoding-mimo-massive-mimo/tables/live_beam_selection_table,reports,reports,beamforming-precoding-mimo-massive-mimo,live_beam_selection_table_v
/reports/beamforming-precoding-mimo-massive-mimo/tables/live_precoder_table,reports,reports,beamforming-precoding-mimo-massive-mimo,live_precoder_table_v
/reports/beamforming-precoding-mimo-massive-mimo/tables/live_combiner_table,reports,reports,beamforming-precoding-mimo-massive-mimo,live_combiner_table_v
/reports/beamforming-precoding-mimo-massive-mimo/tables/live_mimo_state_table,reports,reports,beamforming-precoding-mimo-massive-mimo,live_mimo_state_table_v
/reports/beamforming-precoding-mimo-massive-mimo/tables/live_user_grouping_table,reports,reports,beamforming-precoding-mimo-massive-mimo,live_user_grouping_table_v
/reports/ue-side-state-ue-power-ue-control/tables/live_ue_state_table,reports,reports,ue-side-state-ue-power-ue-control,live_ue_state_table_v
/reports/ue-side-state-ue-power-ue-control/tables/live_ue_measurement_state,reports,reports,ue-side-state-ue-power-ue-control,live_ue_measurement_state_v
/reports/ue-side-state-ue-power-ue-control/tables/live_ue_control_state,reports,reports,ue-side-state-ue-power-ue-control,live_ue_control_state_v
/reports/ue-side-state-ue-power-ue-control/tables/live_ue_power_state,reports,reports,ue-side-state-ue-power-ue-control,live_ue_power_state_v
/reports/ue-side-state-ue-power-ue-control/tables/live_drx_state,reports,reports,ue-side-state-ue-power-ue-control,live_drx_state_v
/reports/gnb-side-state-thread-coordinator-phy-mac-api/tables/live_gnb_state_table,reports,reports,gnb-side-state-thread-coordinator-phy-mac-api,live_gnb_state_table_v
/reports/gnb-side-state-thread-coordinator-phy-mac-api/tables/live_per_cell_context,reports,reports,gnb-side-state-thread-coordinator-phy-mac-api,live_per_cell_context_v
/reports/gnb-side-state-thread-coordinator-phy-mac-api/tables/live_per_ue_context,reports,reports,gnb-side-state-thread-coordinator-phy-mac-api,live_per_ue_context_v
/reports/gnb-side-state-thread-coordinator-phy-mac-api/tables/live_phy_mac_api_table,reports,reports,gnb-side-state-thread-coordinator-phy-mac-api,live_phy_mac_api_table_v
/reports/gnb-side-state-thread-coordinator-phy-mac-api/tables/live_thread_orchestration_table,reports,reports,gnb-side-state-thread-coordinator-phy-mac-api,live_thread_orchestration_table_v
/reports/power-energy-thermal-compute-runtime/tables/live_power_runtime_table,reports,reports,power-energy-thermal-compute-runtime,live_power_runtime_table_v
/reports/power-energy-thermal-compute-runtime/tables/live_rf_power_table,reports,reports,power-energy-thermal-compute-runtime,live_rf_power_table_v
/reports/power-energy-thermal-compute-runtime/tables/live_bb_power_table,reports,reports,power-energy-thermal-compute-runtime,live_bb_power_table_v
/reports/power-energy-thermal-compute-runtime/tables/live_energy_efficiency_table,reports,reports,power-energy-thermal-compute-runtime,live_energy_efficiency_table_v
/reports/power-energy-thermal-compute-runtime/tables/live_sleep_state_table,reports,reports,power-energy-thermal-compute-runtime,live_sleep_state_table_v
/reports/persistence-export-consistency-browser-health/tables/live_db_write_table,reports,reports,persistence-export-consistency-browser-health,live_db_write_table_v
/reports/persistence-export-consistency-browser-health/tables/live_csv_write_table,reports,reports,persistence-export-consistency-browser-health,live_csv_write_table_v
/reports/persistence-export-consistency-browser-health/tables/live_artifact_write_table,reports,reports,persistence-export-consistency-browser-health,live_artifact_write_table_v
/reports/persistence-export-consistency-browser-health/tables/live_browser_surface_integrity_table,reports,reports,persistence-export-consistency-browser-health,live_browser_surface_integrity_table_v
/reports/persistence-export-consistency-browser-health/tables/live_consistency_check_table,reports,reports,persistence-export-consistency-browser-health,live_consistency_check_table_v
/reports/generic-investigator-views/tables/reports_all_stage_exec_v,reports,reports,generic-investigator-views,reports_all_stage_exec_v
/reports/generic-investigator-views/tables/reports_all_scalars_v,reports,reports,generic-investigator-views,reports_all_scalars_v
/reports/generic-investigator-views/tables/reports_all_enums_v,reports,reports,generic-investigator-views,reports_all_enums_v
/reports/generic-investigator-views/tables/reports_all_artifacts_v,reports,reports,generic-investigator-views,reports_all_artifacts_v
/reports/generic-investigator-views/tables/reports_stage_lineage_v,reports,reports,generic-investigator-views,reports_stage_lineage_v
/reports/generic-investigator-views/tables/reports_truth_violations_v,reports,reports,generic-investigator-views,reports_truth_violations_v
/reports/generic-investigator-views/tables/reports_partial_or_missing_v,reports,reports,generic-investigator-views,reports_partial_or_missing_v
/reports/generic-investigator-views/tables/reports_config_vs_measured_conflicts_v,reports,reports,generic-investigator-views,reports_config_vs_measured_conflicts_v
/reports/generic-investigator-views/tables/reports_value_semantics_coverage_v,reports,reports,generic-investigator-views,reports_value_semantics_coverage_v
/reports/generic-investigator-views/tables/reports_status_rollup_explanations_v,reports,reports,generic-investigator-views,reports_status_rollup_explanations_v
/reports/run-trial-scenario-overview/charts/run-health-timeline,reports,reports,run-trial-scenario-overview,run health timeline
/reports/run-trial-scenario-overview/charts/error-warning-fallback-stacked-time-series,reports,reports,run-trial-scenario-overview,error/warning/fallback stacked time series
/reports/run-trial-scenario-overview/charts/required-vs-failed-case-bar-chart,reports,reports,run-trial-scenario-overview,required vs failed case bar chart
