Direction,SFN,ConfiguredSNR_dB,ConfiguredSNRSource,SNRValueRole,SNR_dB,SystemLevelSINR_dB,SystemLevelSINRSource,SystemLevelSINRValueRole,SystemLevelSINRValueStatus,ReceiverHestSINR_dB,ReceiverHestSINRSource,ReceiverHestSINRValueRole,ReceiverHestSINRValueStatus,ReceiverHestSINRNAReason,DecoderTruthProxySINR_dB,DecoderTruthProxySINRSource,DecoderTruthProxySINRValueRole,DecoderTruthProxySINRValueStatus,DecoderTruthProxySINRNAReason,SINRValueRole,SINRSource,SINRValueStatus,SINRValueDefinition,MeasuredTrialSINR_dB,MeasuredTrialSINRSource,MeasuredTrialSINRValueRole,MeasuredTrialSINRValueStatus,MeasuredTrialSINRNAReason,DopplerHz,DopplerSourceMode,DopplerValueRole,UEID,UEIndex,RNTI,BaseStationID,Frame,Slot,AllocatedPRBCount,PRBStart,MCSIndex,Layers,Rank,NMSE_dB,DetectionMetric,ChannelGain_dB,NoiseVariance,TimingOffset_samples,TimingEstimateUsed,UseIdealTimingSync,RankEstimate,ConditionNumber_dB,EstimatedDopplerHz,PhaseTrackingError_deg,QCLAccuracy,Status,NMSEDefinition,NMSEInterpretation
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,36.5335180802805,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,1.50170236540535,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,36.5335180802805,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",4,4,4,1,7,7,30,0,0,2,2,-17.6274440762342,0.983024601463769,-108.765985305973,1.30328970406727e-14,0,1,0,1,25.8734897031932,-98.9993894946768,5.08888749034163e-14,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,54.3963660347403,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,5.36957470785737,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,54.3963660347403,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",37,37,37,1,7,7,30,0,0,2,2,-14.6100997449227,0.966563529350853,-89.8473152266813,1.70648274415271e-14,0,1,0,1,22.0493046222328,56.0351338136985,0,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,73.4461645557126,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,6.6762518380159,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,73.4461645557126,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",48,48,48,1,7,7,30,0,0,2,2,-12.0232811615525,0.940947629443595,-72.0542517659717,1.27793991057676e-14,0,1,0,1,40.8322306673519,NaN,3.59838685311596e-14,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,70.8345550477631,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,2.04755413871971,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,70.8345550477631,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",60,60,60,1,7,7,30,0,0,2,2,-10.9042820552951,0.924895739646782,-74.3333674184852,1.3534459184767e-14,0,1,0,1,42.0600500910974,NaN,8.99596713278989e-15,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,45.9014794416293,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,6.89585513073621,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,45.9014794416293,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",120,120,120,1,7,7,30,0,0,2,2,-16.010972006034,0.975556948326074,-96.6157532482095,2.28369376118397e-14,0,1,0,1,48.1232733663618,58.6259727103659,1.27222187258541e-14,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,46.9129427736279,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,6.68913172579241,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,46.9129427736279,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",129,129,129,1,7,7,30,0,0,2,2,-13.0975921649123,0.953284262755,-94.6200696339779,2.84078128029779e-14,0,1,0,1,33.2479136627972,NaN,1.12449589159874e-15,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,39.2219551058936,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,3.12428578354478,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,39.2219551058936,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",132,132,132,1,7,7,30,0,0,2,2,-9.66177042086433,0.902446182282743,-106.476963810034,1.16639348774018e-14,0,1,0,1,26.63187353211,115.566933750063,4.02311880645441e-14,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,80.8766197110537,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,2.00437599093463,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,80.8766197110537,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",140,140,140,1,7,7,30,0,0,2,2,-14.4379036185046,0.965258136526293,-64.3889028522741,1.31473172849705e-14,0,1,0,1,30.8452379992392,-110.920689974883,1.79919342655798e-14,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,35.5896733818544,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,4.59672602548658,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,35.5896733818544,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",146,146,146,1,7,7,30,0,0,2,2,-16.8212674308079,0.979632558960292,-106.772490841708,2.45196075195292e-14,0,1,0,1,39.7930970952788,155.872526933434,2.54444374517081e-14,1,"PASS","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
"DL",7,12,"configured_runtime_operating_point_reference","configured_reference_metadata",12,NaN,NaN,NaN,NaN,13.7324435367558,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,-5.69130521145289,"post_equalization_evm_proxy",NaN,NaN,NaN,"estimated","receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,13.7324435367558,"receiver_hest_csi_feedback_wideband_effective_sinr",NaN,NaN,NaN,11.1188031732717,"derive_from_ue_speed","scenario_resolved_metadata",25,25,25,2,7,7,24,0,0,2,1,-0.560510551952459,0.532220867972413,-149.527329231983,4.58163751968565e-18,0,1,0,1,22.6221081455936,NaN,0,1,"FAIL","pilot_residual_over_aligned_pilot_power","negative_nmse_db_means_estimation_error_is_below_reference_pilot_power"
