RunID,RuleID,FamilyID,Severity,Metric,ObservedValue,Comparator,Threshold,EvidenceRows,Passed,FailureReason,Status
pdsch_dlsch_impact_20260726T142845Z,DL-R-F01-H,F01,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F01-D,F01,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F02-H,F02,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F02-D,F02,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F03-H,F03,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F03-D,F03,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F04-H,F04,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F04-D,F04,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F05-H,F05,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F05-D,F05,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F06-H,F06,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F06-D,F06,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F07-H,F07,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F07-D,F07,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F08-H,F08,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F08-D,F08,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F09-H,F09,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F09-D,F09,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F10-H,F10,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F10-D,F10,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F11-H,F11,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F11-D,F11,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F12-H,F12,HARD,VerifiedProductionSource,1,eq,1,3,1,,PASS
pdsch_dlsch_impact_20260726T142845Z,DL-R-F12-D,F12,DIAGNOSTIC,FiniteEffect,1,eq,1,3,1,,PASS
